[14:14:52.307] tio v2.7
[14:14:52.307] Press ctrl-t q to quit
[14:14:52.307] Connected
[14:14:56.404] Disconnected
[14:14:57.405] Connected
Starting the tinyML hello world demo
x_value: 0.000000, y_value: 0.000000
x_value: 0.006283, y_value: 0.016944
x_value: 0.012566, y_value: 0.016944
x_value: 0.018850, y_value: 0.016944
x_value: 0.025133, y_value: 0.059304
x_value: 0.031416, y_value: 0.059304
x_value: 0.037699, y_value: 0.059304
x_value: 0.043982, y_value: 0.059304
x_value: 0.050265, y_value: 0.101664
x_value: 0.056549, y_value: 0.101664
x_value: 0.062832, y_value: 0.101664
x_value: 0.069115, y_value: 0.101664
x_value: 0.075398, y_value: 0.110136
x_value: 0.081681, y_value: 0.110136
x_value: 0.087965, y_value: 0.110136
x_value: 0.094248, y_value: 0.110136
x_value: 0.100531, y_value: 0.160969
x_value: 0.106814, y_value: 0.160969
x_value: 0.113097, y_value: 0.160969
x_value: 0.119381, y_value: 0.160969
x_value: 0.125664, y_value: 0.186385
x_value: 0.131947, y_value: 0.186385
x_value: 0.138230, y_value: 0.186385
x_value: 0.144513, y_value: 0.186385
x_value: 0.150796, y_value: 0.203329
x_value: 0.157080, y_value: 0.203329
x_value: 0.163363, y_value: 0.203329
x_value: 0.169646, y_value: 0.203329
x_value: 0.175929, y_value: 0.237217
x_value: 0.182212, y_value: 0.237217
x_value: 0.188496, y_value: 0.237217
x_value: 0.194779, y_value: 0.237217
x_value: 0.201062, y_value: 0.262633
x_value: 0.207345, y_value: 0.262633
x_value: 0.213628, y_value: 0.262633
x_value: 0.219911, y_value: 0.262633
x_value: 0.226195, y_value: 0.296521
x_value: 0.232478, y_value: 0.296521
x_value: 0.238761, y_value: 0.296521
x_value: 0.245044, y_value: 0.296521
x_value: 0.251327, y_value: 0.347353
x_value: 0.257611, y_value: 0.347353
x_value: 0.263894, y_value: 0.347353
x_value: 0.270177, y_value: 0.347353
x_value: 0.276460, y_value: 0.372770
x_value: 0.282743, y_value: 0.372770
x_value: 0.289027, y_value: 0.372770
x_value: 0.295310, y_value: 0.372770
x_value: 0.301593, y_value: 0.372770
x_value: 0.307876, y_value: 0.372770
x_value: 0.314159, y_value: 0.372770
