0: 3.235, -4.272,  -1.892 | 0.019, -0.009, 1.042
1: 3.174, -4.211,  -1.892 | 0.017, -0.008, 1.043
2: 3.174, -4.333,  -1.892 | 0.017, -0.006, 1.044
3: 3.174, -4.333,  -1.892 | 0.016, -0.006, 1.043
4: 3.296, -4.333,  -1.892 | 0.017, -0.007, 1.045
5: 3.235, -4.272,  -1.892 | 0.018, -0.007, 1.044
6: 3.296, -4.333,  -1.831 | 0.020, -0.008, 1.044
7: 3.296, -4.333,  -1.892 | 0.020, -0.007, 1.044
8: 3.235, -4.333,  -1.953 | 0.018, -0.008, 1.045
9: 3.296, -4.272,  -1.953 | 0.016, -0.008, 1.043
10: 3.296, -4.272,  -1.892 | 0.015, -0.007, 1.046
11: 3.113, -4.395,  -1.892 | 0.017, -0.007, 1.043
12: 3.174, -4.333,  -1.892 | 0.017, -0.007, 1.046
13: 3.235, -4.333,  -1.953 | 0.018, -0.007, 1.044
14: 3.174, -4.333,  -1.892 | 0.020, -0.007, 1.044
15: 3.174, -4.272,  -1.953 | 0.019, -0.008, 1.043
16: 3.174, -4.272,  -1.892 | 0.018, -0.008, 1.043
17: 3.174, -4.272,  -1.953 | 0.017, -0.007, 1.044
18: 3.113, -4.272,  -1.892 | 0.017, -0.007, 1.043
19: 3.174, -4.333,  -1.953 | 0.016, -0.008, 1.045
20: 3.174, -4.333,  -1.953 | 0.017, -0.008, 1.044
21: 3.174, -4.333,  -1.892 | 0.020, -0.007, 1.045
22: 3.235, -4.333,  -1.892 | 0.019, -0.008, 1.045
23: 3.235, -4.333,  -1.953 | 0.019, -0.008, 1.044
24: 3.174, -4.333,  -1.831 | 0.018, -0.007, 1.044
25: 3.174, -4.333,  -1.831 | 0.017, -0.007, 1.043
26: 3.174, -4.211,  -1.892 | 0.017, -0.007, 1.045
27: 3.235, -4.272,  -1.953 | 0.017, -0.007, 1.044
28: 3.174, -4.333,  -1.892 | 0.015, -0.007, 1.045
29: 3.296, -4.333,  -1.953 | 0.018, -0.008, 1.045
30: 3.174, -4.272,  -1.953 | 0.020, -0.008, 1.045
31: 3.113, -4.272,  -1.892 | 0.019, -0.008, 1.044
32: 3.235, -4.272,  -1.953 | 0.018, -0.007, 1.043
