0: 3.723, -4.089,  -2.075 | 0.016, -1.004, 0.063
1: 3.723, -4.333,  -2.014 | 0.019, -1.004, 0.069
2: 3.723, -4.578,  -1.953 | 0.017, -1.004, 0.074
3: 3.601, -4.639,  -1.953 | 0.016, -1.004, 0.070
4: 3.418, -4.639,  -1.953 | 0.016, -1.005, 0.063
5: 3.479, -4.700,  -1.892 | 0.013, -1.005, 0.064
6: 3.479, -4.517,  -1.831 | 0.011, -1.005, 0.064
7: 3.479, -4.211,  -1.953 | 0.017, -1.005, 0.060
8: 3.418, -3.845,  -2.075 | 0.023, -1.005, 0.062
9: 3.418, -3.906,  -1.953 | 0.022, -1.005, 0.071
10: 3.357, -4.089,  -1.892 | 0.017, -1.002, 0.078
11: 3.296, -4.150,  -1.892 | 0.014, -1.004, 0.077
12: 3.113, -4.333,  -1.831 | 0.016, -1.004, 0.069
13: 2.991, -4.456,  -1.831 | 0.014, -1.005, 0.066
14: 2.930, -4.395,  -1.892 | 0.016, -1.006, 0.060
15: 3.052, -4.211,  -1.953 | 0.019, -1.005, 0.056
16: 3.113, -4.211,  -1.831 | 0.017, -1.005, 0.058
17: 3.174, -4.395,  -1.770 | 0.012, -1.005, 0.060
18: 3.174, -4.456,  -1.892 | 0.010, -1.005, 0.067
19: 3.113, -4.517,  -1.892 | 0.011, -1.006, 0.070
20: 3.052, -4.456,  -1.953 | 0.015, -1.005, 0.062
21: 3.052, -4.333,  -1.892 | 0.019, -1.006, 0.058
22: 3.174, -4.272,  -1.953 | 0.019, -1.005, 0.056
23: 3.174, -4.272,  -1.953 | 0.019, -1.005, 0.061
24: 3.235, -4.150,  -1.831 | 0.017, -1.005, 0.063
25: 3.113, -4.089,  -1.831 | 0.014, -1.005, 0.066
26: 3.113, -4.211,  -1.831 | 0.011, -1.005, 0.064
27: 3.174, -4.272,  -1.892 | 0.011, -1.005, 0.059
28: 3.174, -4.395,  -1.953 | 0.013, -1.005, 0.058
29: 3.174, -4.395,  -1.953 | 0.014, -1.005, 0.059
30: 3.296, -4.395,  -1.953 | 0.015, -1.005, 0.062
31: 3.174, -4.272,  -1.892 | 0.015, -1.005, 0.066
32: 3.235, -4.272,  -1.892 | 0.022, -1.005, 0.068
33: 3.174, -4.456,  -1.831 | 0.019, -1.005, 0.070
34: 3.113, -4.578,  -1.770 | 0.010, -1.005, 0.066
35: 3.113, -4.578,  -1.892 | 0.011, -1.005, 0.054
36: 3.174, -4.333,  -1.953 | 0.013, -1.005, 0.049
37: 3.235, -4.272,  -1.953 | 0.012, -1.006, 0.050
38: 3.418, -4.211,  -2.014 | 0.016, -1.005, 0.052
39: 3.601, -4.089,  -2.014 | 0.017, -1.005, 0.063
40: 3.479, -4.028,  -1.953 | 0.015, -1.005, 0.070
41: 3.479, -4.028,  -1.953 | 0.017, -1.004, 0.074
42: 3.418, -4.150,  -1.953 | 0.018, -1.004, 0.076
43: 3.113, -4.333,  -1.953 | 0.019, -1.004, 0.071
44: 3.052, -4.517,  -1.831 | 0.016, -1.005, 0.069
45: 2.991, -4.517,  -1.831 | 0.012, -1.005, 0.066
46: 3.052, -4.578,  -1.892 | 0.016, -1.005, 0.061
47: 3.113, -4.456,  -1.953 | 0.017, -1.004, 0.063
48: 2.991, -4.272,  -1.953 | 0.019, -1.005, 0.060
49: 3.113, -4.333,  -1.831 | 0.015, -1.005, 0.059
50: 3.113, -4.395,  -1.770 | 0.009, -1.005, 0.055
51: 3.113, -4.272,  -1.953 | 0.010, -1.005, 0.051
52: 3.235, -4.089,  -1.953 | 0.016, -1.006, 0.051
53: 3.357, -4.150,  -1.892 | 0.017, -1.005, 0.055
54: 3.418, -4.395,  -1.953 | 0.011, -1.006, 0.059
55: 3.540, -4.456,  -2.014 | 0.009, -1.005, 0.058
56: 3.601, -4.395,  -2.075 | 0.012, -1.005, 0.062
57: 3.601, -4.272,  -2.014 | 0.016, -1.005, 0.066
58: 3.540, -4.272,  -2.075 | 0.020, -1.005, 0.066
59: 3.479, -4.456,  -2.014 | 0.019, -1.005, 0.070
60: 3.418, -4.395,  -1.953 | 0.016, -1.005, 0.075
61: 3.296, -4.517,  -1.953 | 0.016, -1.005, 0.077
62: 3.235, -4.517,  -1.953 | 0.015, -1.005, 0.078
63: 3.113, -4.395,  -1.953 | 0.018, -1.005, 0.068
64: 2.991, -4.272,  -1.953 | 0.025, -1.005, 0.061
65: 2.991, -4.028,  -1.831 | 0.026, -1.005, 0.060
66: 2.930, -4.028,  -1.831 | 0.019, -1.004, 0.064
67: 3.052, -3.967,  -1.770 | 0.007, -1.005, 0.066
68: 3.052, -4.089,  -1.709 | 0.005, -1.004, 0.064
69: 3.113, -4.333,  -1.831 | 0.005, -1.005, 0.057
70: 3.113, -4.578,  -1.953 | 0.005, -1.005, 0.059
71: 3.052, -4.517,  -2.014 | 0.018, -1.005, 0.057
72: 3.052, -4.517,  -1.953 | 0.023, -1.005, 0.061
73: 3.113, -4.272,  -1.953 | 0.019, -1.005, 0.066
74: 3.174, -4.150,  -1.892 | 0.022, -1.005, 0.056
75: 3.235, -4.150,  -1.831 | 0.018, -1.005, 0.056
76: 3.174, -4.272,  -1.831 | 0.010, -1.005, 0.061
77: 3.296, -4.333,  -1.831 | 0.006, -1.005, 0.062
78: 3.235, -4.395,  -2.014 | 0.008, -1.004, 0.067
79: 3.174, -4.395,  -1.953 | 0.017, -1.005, 0.065
80: 3.296, -4.456,  -1.953 | 0.023, -1.005, 0.064
81: 3.235, -4.578,  -1.892 | 0.017, -1.005, 0.065
82: 3.174, -4.456,  -1.831 | 0.014, -1.005, 0.060
83: 3.174, -4.211,  -1.953 | 0.017, -1.006, 0.053
84: 3.296, -4.028,  -1.953 | 0.016, -1.006, 0.058
85: 3.418, -3.967,  -1.892 | 0.014, -1.005, 0.060
86: 3.357, -3.845,  -1.892 | 0.014, -1.006, 0.064
87: 3.479, -4.028,  -1.892 | 0.014, -1.005, 0.065
88: 3.418, -4.333,  -2.014 | 0.015, -1.003, 0.065
89: 3.357, -4.395,  -1.953 | 0.012, -1.004, 0.067
90: 3.418, -4.395,  -1.953 | 0.013, -1.004, 0.067
91: 3.296, -4.333,  -1.953 | 0.016, -1.004, 0.065
92: 3.296, -4.333,  -2.014 | 0.016, -1.004, 0.064
93: 3.357, -4.272,  -1.953 | 0.019, -1.006, 0.059
94: 3.357, -4.272,  -1.892 | 0.019, -1.005, 0.055
95: 3.296, -4.089,  -1.953 | 0.017, -1.006, 0.058
96: 3.479, -4.211,  -1.953 | 0.013, -1.005, 0.064
97: 3.601, -4.395,  -1.892 | 0.009, -1.005, 0.065
98: 3.479, -4.395,  -1.892 | 0.011, -1.005, 0.063
99: 3.418, -4.517,  -2.075 | 0.016, -1.004, 0.061
100: 3.296, -4.578,  -2.014 | 0.014, -1.005, 0.061
101: 3.479, -4.578,  -1.953 | 0.015, -1.005, 0.056
102: 3.540, -4.456,  -1.953 | 0.015, -1.005, 0.055
103: 3.540, -4.211,  -2.014 | 0.016, -1.005, 0.054
