x, y, z
  0.0409,  -0.8870,   0.4988
  0.0657,  -0.8666,   0.4483
  0.0817,  -0.9169,   0.4933
  0.0897,  -0.9160,   0.4799
  0.1066,  -0.9193,   0.4657
  0.0994,  -0.9292,   0.4431
  0.0891,  -0.9381,   0.4215
  0.0861,  -0.9484,   0.4053
  0.0746,  -0.9552,   0.3919
  0.0690,  -0.9578,   0.3840
  0.0765,  -0.9567,   0.3766
  0.0825,  -0.9552,   0.3713
  0.0924,  -0.9523,   0.3667
  0.1006,  -0.9528,   0.3634
  0.1027,  -0.9554,   0.3607
  0.0964,  -0.9582,   0.3618
  0.0839,  -0.9578,   0.3633
  0.0598,  -0.9610,   0.3652
  0.0466,  -0.9494,   0.3696
  0.0432,  -0.9536,   0.3652
  0.0573,  -0.9518,   0.3612
  0.0723,  -0.9525,   0.3591
  0.0778,  -0.9523,   0.3617
  0.0795,  -0.9445,   0.3665
  0.0853,  -0.9441,   0.3667
  0.0914,  -0.9445,   0.3678
  0.0989,  -0.9413,   0.3684
  0.0945,  -0.9457,   0.3735
  0.0868,  -0.9423,   0.3839
  0.0824,  -0.9336,   0.3982
  0.0853,  -0.9306,   0.4055
  0.0800,  -0.9274,   0.4113
  0.0840,  -0.9275,   0.4133
  0.0780,  -0.9312,   0.4097
  0.0874,  -0.9333,   0.4077
  0.0806,  -0.9359,   0.3984
  0.0779,  -0.9359,   0.3862
  0.0752,  -0.9350,   0.3721
  0.0845,  -0.9411,   0.3596
  0.0952,  -0.9456,   0.3442
  0.0955,  -0.9466,   0.3340
  0.0960,  -0.9525,   0.3292
  0.0864,  -0.9516,   0.3345
  0.0842,  -0.9508,   0.3477
  0.0762,  -0.9444,   0.3662
  0.0753,  -0.9450,   0.3803
  0.0831,  -0.9401,   0.3832
  0.0968,  -0.9486,   0.3842
  0.0955,  -0.9522,   0.3897
  0.1058,  -0.9527,   0.3932
  0.1204,  -0.9480,   0.3987
  0.1469,  -0.9488,   0.3894
  0.1575,  -0.9567,   0.3777
  0.1522,  -0.9557,   0.3699
  0.1544,  -0.9684,   0.3656
  0.1494,  -0.9565,   0.3743
  0.1720,  -0.9557,   0.3798
  0.1874,  -0.9556,   0.3777
  0.2108,  -0.9607,   0.3671
  0.2413,  -0.9688,   0.3613
  0.2660,  -0.9694,   0.3584
  0.2787,  -0.9712,   0.3521
  0.2854,  -0.9673,   0.3457
  0.3058,  -0.9655,   0.3333
  0.3181,  -0.9632,   0.3303
  0.3234,  -0.9536,   0.3322
  0.3265,  -0.9488,   0.3344
  0.3263,  -0.9446,   0.3416
  0.3259,  -0.9278,   0.3510
  0.3339,  -0.9224,   0.3582
  0.3265,  -0.9070,   0.3689
  0.3307,  -0.8941,   0.3674
  0.3233,  -0.8902,   0.3534
  0.3086,  -0.8888,   0.3335
  0.2760,  -0.8898,   0.3359
  0.2544,  -0.8682,   0.3562
  0.2324,  -0.8637,   0.3712
  0.2067,  -0.8662,   0.3889
  0.1759,  -0.8460,   0.4181
  0.1495,  -0.8371,   0.4288
  0.1301,  -0.8374,   0.4198
  0.1149,  -0.8390,   0.4057
  0.1051,  -0.8471,   0.3906
  0.0994,  -0.8459,   0.3798
  0.0687,  -0.8467,   0.3740
  0.0599,  -0.8443,   0.3729
  0.0059,  -0.8468,   0.3682
  0.0378,  -0.8263,   0.3665
  0.0143,  -0.8180,   0.3818
 -0.0074,  -0.8218,   0.3746
 -0.0146,  -0.8332,   0.3764
 -0.0122,  -0.8263,   0.3778
 -0.0028,  -0.8286,   0.3712
 -0.0101,  -0.8260,   0.3698
 -0.0199,  -0.8144,   0.3700
 -0.0649,  -0.8170,   0.3742
 -0.1049,  -0.8167,   0.3847
 -0.1251,  -0.8103,   0.3847
 -0.1296,  -0.8130,   0.3781
 -0.1271,  -0.8003,   0.3657
 -0.1034,  -0.7882,   0.3438
 -0.0637,  -0.7925,   0.3253
 -0.0558,  -0.7743,   0.3306
 -0.0604,  -0.7580,   0.3566
 -0.0917,  -0.7493,   0.4014
 -0.1265,  -0.7272,   0.4451
 -0.1792,  -0.7265,   0.4712
 -0.1848,  -0.7254,   0.4728
 -0.2076,  -0.7217,   0.4802
 -0.2188,  -0.7226,   0.4890
 -0.2384,  -0.7162,   0.5083
 -0.2327,  -0.7127,   0.5375
 -0.2311,  -0.7025,   0.5835
 -0.2211,  -0.6735,   0.6319
 -0.2645,  -0.6541,   0.6754
 -0.2986,  -0.6524,   0.6973
 -0.3109,  -0.6453,   0.6831
 -0.3013,  -0.6467,   0.6549
 -0.2804,  -0.6561,   0.6139
 -0.2955,  -0.6619,   0.5945
 -0.3142,  -0.6403,   0.6050
 -0.3384,  -0.6239,   0.6181
 -0.3670,  -0.6190,   0.6360
 -0.3818,  -0.6118,   0.6586
 -0.3978,  -0.6111,   0.6768
 -0.4202,  -0.5997,   0.6950
 -0.4351,  -0.5945,   0.7013
 -0.4707,  -0.6140,   0.7134
 -0.4851,  -0.6060,   0.7154
 -0.4960,  -0.6217,   0.6897
 -0.5226,  -0.6518,   0.6563
 -0.5453,  -0.6580,   0.6279
 -0.5844,  -0.6624,   0.6107
 -0.6355,  -0.6602,   0.6073
 -0.6736,  -0.6558,   0.6154
 -0.7080,  -0.6538,   0.6310
 -0.7307,  -0.6459,   0.6492
 -0.7409,  -0.6494,   0.6681
 -0.7238,  -0.6610,   0.6701
 -0.7096,  -0.6668,   0.6703
 -0.7033,  -0.6767,   0.6857
 -0.7212,  -0.6767,   0.7267
 -0.7516,  -0.6763,   0.7729
 -0.7312,  -0.6741,   0.8175
 -0.7667,  -0.6511,   0.8565
 -0.8017,  -0.6572,   0.9088
 -0.8288,  -0.6555,   0.9401
 -0.8444,  -0.6459,   0.9633
 -0.8531,  -0.6431,   0.9638
 -0.8610,  -0.6417,   0.9474
 -0.8573,  -0.6344,   0.9287
 -0.8427,  -0.6372,   0.9137
 -0.8249,  -0.6388,   0.9025
 -0.7880,  -0.6392,   0.8799
 -0.7417,  -0.6373,   0.8346
 -0.7055,  -0.6489,   0.7898
 -0.6807,  -0.6387,   0.7721
 -0.6577,  -0.6281,   0.7493
 -0.6294,  -0.6305,   0.7208
 -0.5935,  -0.6261,   0.7066
 -0.5757,  -0.6227,   0.7027
 -0.5650,  -0.6211,   0.7049
 -0.5579,  -0.6132,   0.7161
 -0.5548,  -0.5923,   0.7383
 -0.5475,  -0.5790,   0.7498
 -0.5491,  -0.5758,   0.7533
 -0.5331,  -0.5632,   0.7477
 -0.5020,  -0.5607,   0.7167
 -0.4756,  -0.5659,   0.6812
 -0.4429,  -0.5645,   0.6520
 -0.4163,  -0.5663,   0.6260
 -0.3972,  -0.5678,   0.6052
 -0.3818,  -0.5698,   0.5925
 -0.3748,  -0.5656,   0.5924
 -0.3623,  -0.5553,   0.5973
 -0.3428,  -0.5480,   0.6056
 -0.3076,  -0.5341,   0.6071
 -0.2802,  -0.5335,   0.6090
 -0.2538,  -0.5214,   0.6151
 -0.2211,  -0.5110,   0.6150
 -0.1907,  -0.5125,   0.6089
 -0.1615,  -0.5076,   0.6079
 -0.1311,  -0.5073,   0.6106
 -0.1149,  -0.5205,   0.5967
 -0.1166,  -0.5502,   0.5792
 -0.1126,  -0.5759,   0.5697
 -0.0991,  -0.5817,   0.5718
 -0.0914,  -0.5861,   0.5917
 -0.0850,  -0.5822,   0.6116
 -0.1032,  -0.5880,   0.6349
 -0.0952,  -0.5897,   0.6802
 -0.0688,  -0.5718,   0.7353
 -0.0459,  -0.5657,   0.7829
 -0.0293,  -0.5613,   0.8361
  0.0110,  -0.5352,   0.8841
  0.0427,  -0.5258,   0.9253
  0.0786,  -0.5075,   0.9630
  0.1034,  -0.4998,   0.9923
  0.1237,  -0.4913,   1.0082
  0.1509,  -0.4811,   1.0080
  0.1624,  -0.4872,   0.9853
  0.1619,  -0.4987,   0.9436
  0.1410,  -0.5095,   0.9097
  0.1211,  -0.5082,   0.8836
  0.0784,  -0.5139,   0.8636
  0.0338,  -0.5058,   0.8664
  0.0277,  -0.4902,   0.8653
 -0.0194,  -0.5070,   0.8598
 -0.0437,  -0.4946,   0.8805
 -0.0559,  -0.4714,   0.8938
 -0.1058,  -0.4839,   0.9037
 -0.1346,  -0.4740,   0.9240
 -0.1300,  -0.4591,   0.9433
 -0.1346,  -0.4557,   0.9608
 -0.1224,  -0.4522,   0.9831
 -0.1360,  -0.4447,   1.0158
 -0.1500,  -0.4270,   1.0426
 -0.1440,  -0.4215,   1.0551
 -0.1143,  -0.4142,   1.0636
 -0.1016,  -0.4008,   1.0452
 -0.0531,  -0.4122,   1.0747
 -0.0643,  -0.4201,   1.0683
 -0.0311,  -0.4169,   1.0498
 -0.0391,  -0.4199,   1.0404
 -0.0464,  -0.4180,   1.0446
 -0.0392,  -0.4223,   1.0630
 -0.0277,  -0.4053,   1.1200
 -0.0868,  -0.4030,   1.1418
 -0.0845,  -0.4192,   1.1306
 -0.0909,  -0.4069,   1.1261
 -0.1044,  -0.4159,   1.1296
 -0.1135,  -0.4048,   1.1438
 -0.1150,  -0.3945,   1.1554
 -0.1116,  -0.3937,   1.1491
 -0.1045,  -0.3908,   1.1347
 -0.0930,  -0.3991,   1.1140
 -0.0759,  -0.3988,   1.1121
 -0.0651,  -0.3864,   1.1180
 -0.0674,  -0.3862,   1.1199
 -0.0613,  -0.3657,   1.1068
 -0.0421,  -0.3733,   1.0533
 -0.0641,  -0.3851,   0.9986
 -0.0686,  -0.3773,   0.9513
 -0.0764,  -0.3810,   0.9058
 -0.0742,  -0.3801,   0.8643
 -0.0416,  -0.3672,   0.8216
 -0.0172,  -0.3660,   0.7865
 -0.0066,  -0.3591,   0.7641
 -0.0094,  -0.3611,   0.7902
 -0.0266,  -0.3191,   0.8535
 -0.0508,  -0.3064,   0.9154
 -0.0862,  -0.2966,   0.9785
 -0.1140,  -0.2710,   1.0417
 -0.1829,  -0.2597,   1.0895
 -0.2227,  -0.2485,   1.1126
 -0.2040,  -0.2571,   1.1188
 -0.2094,  -0.2621,   1.1264
 -0.2206,  -0.2570,   1.1205
 -0.2524,  -0.2825,   1.1095
 -0.2759,  -0.2871,   1.1121
 -0.2730,  -0.2979,   1.1079
 -0.2650,  -0.3142,   1.0956
 -0.2537,  -0.3124,   1.0883
 -0.2356,  -0.3162,   1.0642
 -0.1963,  -0.3180,   1.0379
 -0.1632,  -0.3240,   1.0215
 -0.1394,  -0.3246,   1.0380
 -0.1277,  -0.3005,   1.0938
 -0.1378,  -0.2885,   1.1524
 -0.1665,  -0.2760,   1.2127
 -0.2062,  -0.2647,   1.2776
 -0.2444,  -0.2467,   1.3267
 -0.2848,  -0.2412,   1.3472
 -0.3283,  -0.2395,   1.3464
 -0.4188,  -0.2481,   1.2963
 -0.4618,  -0.2395,   1.2673
 -0.4823,  -0.2498,   1.2372
 -0.4573,  -0.2515,   1.2178
 -0.4162,  -0.2435,   1.2224
 -0.4083,  -0.2398,   1.2393
 -0.3884,  -0.2260,   1.2452
 -0.3794,  -0.2150,   1.2377
 -0.3805,  -0.2140,   1.2095
 -0.4329,  -0.2249,   1.1752
 -0.4664,  -0.2139,   1.1549
 -0.4231,  -0.2096,   1.1457
 -0.3007,  -0.2159,   1.1370
 -0.2399,  -0.1948,   1.1747
 -0.2631,  -0.1954,   1.2156
 -0.2590,  -0.2068,   1.1809
 -0.2958,  -0.2076,   1.1487
 -0.3287,  -0.2156,   1.1046
 -0.3781,  -0.2236,   1.0544
 -0.4214,  -0.2277,   1.0170
 -0.4454,  -0.2338,   1.0120
 -0.4464,  -0.2297,   1.0312
 -0.4548,  -0.2241,   1.0597
 -0.4725,  -0.2164,   1.0883
 -0.4728,  -0.2024,   1.1025
 -0.4621,  -0.2123,   1.0743
 -0.4524,  -0.2324,   1.0244
 -0.4397,  -0.2404,   0.9771
 -0.4214,  -0.2495,   0.9346
 -0.4058,  -0.2600,   0.9149
 -0.4351,  -0.2554,   0.9285
 -0.4550,  -0.2380,   0.9219
 -0.4830,  -0.2548,   0.8719
 -0.5156,  -0.2710,   0.8047
 -0.5220,  -0.2850,   0.7392
 -0.5141,  -0.3030,   0.6671
 -0.4931,  -0.3278,   0.6308
 -0.4663,  -0.3482,   0.6344
 -0.4353,  -0.3460,   0.6826
 -0.4057,  -0.3467,   0.7466
 -0.3733,  -0.3483,   0.8017
 -0.3507,  -0.3347,   0.8419
 -0.3217,  -0.3358,   0.8605
 -0.2892,  -0.3345,   0.8593
 -0.2560,  -0.3458,   0.8343
 -0.2383,  -0.3676,   0.8065
 -0.2180,  -0.3721,   0.7979
 -0.2087,  -0.3762,   0.8043
 -0.2068,  -0.3838,   0.8214
 -0.2302,  -0.3831,   0.8444
 -0.2365,  -0.3809,   0.8626
 -0.2390,  -0.3811,   0.8576
 -0.2418,  -0.3970,   0.8461
 -0.2463,  -0.4002,   0.8317
 -0.2548,  -0.4143,   0.8213
 -0.2548,  -0.4220,   0.8169
 -0.2457,  -0.4339,   0.8135
 -0.2489,  -0.4368,   0.8164
 -0.2775,  -0.4328,   0.8162
 -0.2793,  -0.4417,   0.8007
 -0.2863,  -0.4452,   0.7851
 -0.2798,  -0.4441,   0.7733
 -0.2731,  -0.4600,   0.7614
 -0.2767,  -0.4672,   0.7639
 -0.2955,  -0.4735,   0.7771
 -0.3029,  -0.4799,   0.7925
 -0.2997,  -0.4885,   0.7968
 -0.3086,  -0.4998,   0.7921
 -0.2968,  -0.5042,   0.7846
 -0.2933,  -0.5180,   0.7794
 -0.2842,  -0.5219,   0.7909
 -0.2782,  -0.5324,   0.8194
 -0.2701,  -0.5248,   0.8681
 -0.2638,  -0.5264,   0.9146
 -0.2683,  -0.5338,   0.9455
 -0.2610,  -0.5368,   0.9602
 -0.2380,  -0.5388,   0.9525
 -0.2053,  -0.5525,   0.9281
 -0.1747,  -0.5669,   0.9106
 -0.1682,  -0.5729,   0.9070
 -0.1657,  -0.5878,   0.9176
 -0.1635,  -0.5883,   0.9486
 -0.1290,  -0.5842,   0.9721
 -0.1127,  -0.6008,   0.9816
 -0.0798,  -0.6118,   0.9961
 -0.0586,  -0.6106,   1.0143
 -0.0519,  -0.6206,   1.0288
 -0.0413,  -0.6240,   1.0295
 -0.0227,  -0.6292,   1.0187
 -0.0072,  -0.6411,   0.9982
 -0.0101,  -0.6414,   0.9883
 -0.0107,  -0.6369,   0.9785
 -0.0051,  -0.6405,   0.9600
 -0.0054,  -0.6465,   0.9481
 -0.0287,  -0.6536,   0.9369
 -0.0426,  -0.6692,   0.9340
 -0.0501,  -0.6670,   0.9384
 -0.0413,  -0.6714,   0.9351
 -0.0123,  -0.6749,   0.9292
  0.0370,  -0.6675,   0.9207
  0.1028,  -0.6695,   0.9062
  0.1682,  -0.6769,   0.8946
  0.2178,  -0.6922,   0.9081
  0.2450,  -0.6917,   0.9401
  0.2448,  -0.6922,   0.9722
  0.2294,  -0.6920,   0.9962
  0.2300,  -0.6894,   1.0071
  0.2315,  -0.6853,   1.0033
  0.2290,  -0.6890,   0.9782
  0.2295,  -0.7002,   0.9474
  0.2257,  -0.7060,   0.9204
  0.2310,  -0.7183,   0.9033
  0.2316,  -0.7160,   0.8933
  0.2258,  -0.7208,   0.8808
  0.2006,  -0.7295,   0.8656
  0.1801,  -0.7295,   0.8404
  0.1641,  -0.7429,   0.8046
  0.1484,  -0.7404,   0.7716
  0.1417,  -0.7421,   0.7443
  0.1438,  -0.7416,   0.7102
  0.1448,  -0.7427,   0.6876
  0.1697,  -0.7458,   0.6691
  0.1954,  -0.7442,   0.6444
  0.1798,  -0.7654,   0.6356
  0.1677,  -0.7526,   0.6442
  0.1628,  -0.7454,   0.6469
  0.1419,  -0.7523,   0.6398
  0.1323,  -0.7542,   0.6373
  0.1185,  -0.7454,   0.6541
  0.1007,  -0.7309,   0.6658
  0.0894,  -0.7289,   0.6521
  0.0953,  -0.7271,   0.6145
  0.1223,  -0.7313,   0.5613
  0.1377,  -0.7405,   0.5108
  0.1449,  -0.7453,   0.4935
  0.1288,  -0.7388,   0.5004
