x, y, z
 -0.0376,  -0.9242,   0.3905
 -0.0347,  -0.9171,   0.2998
 -0.0328,  -0.9710,   0.3137
 -0.0261,  -0.9694,   0.3286
 -0.0121,  -0.9661,   0.3370
 -0.0078,  -0.9621,   0.3395
 -0.0089,  -0.9623,   0.3372
 -0.0085,  -0.9634,   0.3447
 -0.0024,  -0.9601,   0.3504
 -0.0007,  -0.9669,   0.3442
  0.0010,  -0.9707,   0.3311
  0.0000,  -0.9711,   0.3195
 -0.0007,  -0.9731,   0.3057
  0.0001,  -0.9734,   0.2931
  0.0082,  -0.9717,   0.2957
  0.0134,  -0.9718,   0.3045
  0.0142,  -0.9668,   0.3240
  0.0195,  -0.9629,   0.3370
  0.0190,  -0.9635,   0.3417
  0.0205,  -0.9619,   0.3406
  0.0258,  -0.9635,   0.3295
  0.0223,  -0.9657,   0.3118
  0.0133,  -0.9634,   0.2979
  0.0262,  -0.9701,   0.2876
  0.0282,  -0.9687,   0.2850
  0.0341,  -0.9680,   0.2976
  0.0239,  -0.9662,   0.3098
  0.0035,  -0.9701,   0.3226
 -0.0093,  -0.9688,   0.3263
 -0.0184,  -0.9733,   0.3201
 -0.0106,  -0.9737,   0.3200
  0.0018,  -0.9779,   0.3186
  0.0038,  -0.9721,   0.3191
  0.0029,  -0.9740,   0.3115
 -0.0020,  -0.9709,   0.3036
 -0.0010,  -0.9712,   0.3036
  0.0037,  -0.9737,   0.3159
  0.0082,  -0.9762,   0.3333
  0.0129,  -0.9735,   0.3445
  0.0125,  -0.9745,   0.3534
  0.0121,  -0.9763,   0.3523
  0.0057,  -0.9805,   0.3455
  0.0034,  -0.9868,   0.3324
 -0.0204,  -0.9850,   0.3319
 -0.0070,  -0.9832,   0.3375
 -0.0031,  -0.9800,   0.3438
  0.0065,  -0.9776,   0.3538
  0.0204,  -0.9774,   0.3616
  0.0146,  -0.9761,   0.3661
  0.0055,  -0.9737,   0.3673
 -0.0023,  -0.9735,   0.3715
 -0.0024,  -0.9746,   0.3715
  0.0050,  -0.9777,   0.3676
  0.0162,  -0.9817,   0.3717
  0.0243,  -0.9778,   0.3754
  0.0187,  -0.9760,   0.3932
  0.0148,  -0.9724,   0.3925
 -0.0013,  -0.9713,   0.3806
 -0.0142,  -0.9721,   0.3692
 -0.0192,  -0.9693,   0.3604
 -0.0077,  -0.9683,   0.3491
  0.0070,  -0.9717,   0.3374
  0.0306,  -0.9743,   0.3346
  0.0575,  -0.9739,   0.3429
  0.0726,  -0.9689,   0.3516
  0.0824,  -0.9701,   0.3588
  0.0687,  -0.9638,   0.3579
  0.0404,  -0.9624,   0.3421
  0.0115,  -0.9669,   0.3206
  0.0010,  -0.9635,   0.3084
 -0.0043,  -0.9617,   0.3030
 -0.0065,  -0.9635,   0.2921
 -0.0087,  -0.9645,   0.2749
  0.0116,  -0.9593,   0.2573
  0.0016,  -0.9651,   0.2418
  0.0028,  -0.9590,   0.2274
 -0.0032,  -0.9632,   0.2149
 -0.0182,  -0.9574,   0.2062
 -0.0303,  -0.9547,   0.1964
 -0.0282,  -0.9634,   0.1683
 -0.0190,  -0.9683,   0.1469
 -0.0050,  -0.9672,   0.1292
  0.0308,  -0.9574,   0.1122
  0.0331,  -0.9595,   0.0996
  0.0460,  -0.9566,   0.0841
  0.0410,  -0.9538,   0.0588
  0.0466,  -0.9645,   0.0352
  0.0535,  -0.9506,   0.0256
  0.0565,  -0.9472,   0.0342
 -0.0031,  -0.9633,   0.0282
 -0.0577,  -0.9554,   0.0079
 -0.0494,  -0.9193,   0.0443
 -0.0419,  -0.9280,   0.0678
 -0.0526,  -0.9112,   0.0597
 -0.0614,  -0.9232,   0.0585
 -0.0741,  -0.9074,   0.0560
 -0.0667,  -0.8732,   0.0455
 -0.0695,  -0.8926,   0.0277
 -0.0291,  -0.8939,   0.0444
 -0.0635,  -0.8655,   0.0776
 -0.0320,  -0.8412,   0.0907
  0.0101,  -0.8191,   0.1141
  0.0728,  -0.7710,   0.1301
  0.0577,  -0.7449,   0.1410
  0.0853,  -0.7356,   0.1477
  0.0223,  -0.7280,   0.1740
  0.0000,  -0.6677,   0.1928
 -0.0078,  -0.7079,   0.2655
 -0.0074,  -0.6843,   0.3435
 -0.0062,  -0.6658,   0.4243
  0.0526,  -0.6409,   0.4949
  0.1079,  -0.6127,   0.5477
  0.1534,  -0.6023,   0.5871
  0.1492,  -0.5842,   0.5967
  0.1354,  -0.5673,   0.5734
  0.0619,  -0.5995,   0.5311
  0.0106,  -0.5933,   0.4909
  0.0010,  -0.5828,   0.4749
 -0.0197,  -0.5817,   0.5056
 -0.0087,  -0.5587,   0.5600
  0.0189,  -0.5445,   0.6338
  0.0595,  -0.5239,   0.6881
  0.0819,  -0.5027,   0.7317
  0.0966,  -0.4917,   0.7361
  0.0907,  -0.5003,   0.7255
  0.1002,  -0.4861,   0.6898
  0.0997,  -0.4920,   0.6652
  0.0649,  -0.4983,   0.6442
  0.1011,  -0.4699,   0.6554
  0.0403,  -0.4800,   0.6887
 -0.0501,  -0.4635,   0.7310
 -0.1156,  -0.4856,   0.7776
 -0.1406,  -0.4976,   0.8396
 -0.2069,  -0.4837,   0.8836
 -0.1803,  -0.4651,   0.9578
 -0.2315,  -0.4429,   0.9788
 -0.2163,  -0.4201,   0.9617
 -0.2362,  -0.4266,   0.9298
 -0.2146,  -0.4371,   0.8981
 -0.2067,  -0.4569,   0.9052
 -0.1884,  -0.4697,   0.9521
 -0.1373,  -0.4096,   1.0263
 -0.1144,  -0.3790,   1.1012
 -0.0875,  -0.3695,   1.1514
 -0.0869,  -0.3578,   1.1805
 -0.0413,  -0.3460,   1.1845
 -0.0266,  -0.3162,   1.1657
 -0.0322,  -0.3159,   1.1509
 -0.0599,  -0.3008,   1.1839
 -0.0491,  -0.2671,   1.2246
 -0.0761,  -0.2485,   1.2796
 -0.0802,  -0.2418,   1.3295
 -0.0896,  -0.2224,   1.3818
  0.0607,  -0.2035,   1.4811
 -0.0797,  -0.2255,   1.4596
 -0.0355,  -0.1919,   1.4340
 -0.0127,  -0.1945,   1.4130
 -0.0513,  -0.2128,   1.3879
 -0.0610,  -0.2162,   1.3797
 -0.0992,  -0.2194,   1.3765
 -0.1426,  -0.2178,   1.3876
 -0.1624,  -0.2055,   1.4227
 -0.1559,  -0.1953,   1.4389
 -0.1406,  -0.1813,   1.4496
 -0.0671,  -0.1871,   1.4435
  0.0015,  -0.1903,   1.3998
  0.0234,  -0.1887,   1.3330
  0.0209,  -0.1923,   1.2585
 -0.0062,  -0.1925,   1.1835
