x, y, z
  0.0868,  -0.9143,   0.4170
  0.0944,  -0.9126,   0.3298
  0.1116,  -0.9656,   0.3412
  0.1180,  -0.9688,   0.3436
  0.1167,  -0.9716,   0.3452
  0.1096,  -0.9687,   0.3432
  0.1110,  -0.9706,   0.3272
  0.1235,  -0.9776,   0.3163
  0.1293,  -0.9789,   0.3085
  0.1333,  -0.9855,   0.2960
  0.1333,  -0.9882,   0.2914
  0.1335,  -0.9855,   0.2915
  0.1437,  -0.9790,   0.2930
  0.1419,  -0.9696,   0.3007
  0.1318,  -0.9667,   0.3076
  0.1290,  -0.9634,   0.3087
  0.1340,  -0.9628,   0.3056
  0.1364,  -0.9668,   0.2979
  0.1443,  -0.9648,   0.2905
  0.1420,  -0.9689,   0.2888
  0.1381,  -0.9678,   0.2838
  0.1376,  -0.9754,   0.2728
  0.1331,  -0.9756,   0.2675
  0.1195,  -0.9729,   0.2608
  0.1220,  -0.9711,   0.2533
  0.1130,  -0.9702,   0.2445
  0.1077,  -0.9749,   0.2461
  0.0927,  -0.9718,   0.2656
  0.0762,  -0.9677,   0.2902
  0.0640,  -0.9713,   0.3010
  0.0613,  -0.9711,   0.2996
  0.0631,  -0.9767,   0.2919
  0.0756,  -0.9870,   0.2750
  0.1032,  -0.9944,   0.2597
  0.1110,  -1.0059,   0.2535
  0.0955,  -1.0130,   0.2564
  0.0819,  -1.0176,   0.2689
  0.0643,  -1.0202,   0.2742
  0.0543,  -1.0268,   0.2714
  0.0482,  -1.0341,   0.2697
  0.0574,  -1.0406,   0.2688
  0.0883,  -1.0464,   0.2693
  0.1171,  -1.0594,   0.2752
  0.1294,  -1.0514,   0.2975
  0.1290,  -1.0528,   0.3098
  0.1509,  -1.0647,   0.3097
  0.1686,  -1.0678,   0.3030
  0.1904,  -1.0718,   0.2968
  0.2266,  -1.0701,   0.2980
  0.2459,  -1.0636,   0.3015
  0.2736,  -1.0530,   0.2986
  0.2699,  -1.0473,   0.3099
  0.2839,  -1.0303,   0.3303
  0.3046,  -1.0194,   0.3352
  0.3145,  -1.0119,   0.3345
  0.3202,  -0.9940,   0.3318
  0.3350,  -0.9785,   0.3171
  0.3622,  -0.9722,   0.2938
  0.3995,  -0.9567,   0.2689
  0.4456,  -0.9435,   0.2448
  0.4782,  -0.9247,   0.2224
  0.5055,  -0.9224,   0.2103
  0.5090,  -0.8887,   0.2063
  0.5186,  -0.8855,   0.2096
  0.5130,  -0.8631,   0.2593
  0.4705,  -0.8307,   0.3278
  0.4535,  -0.8097,   0.3755
  0.4352,  -0.7906,   0.3991
  0.4262,  -0.7748,   0.4061
  0.4140,  -0.7782,   0.3956
  0.4004,  -0.7713,   0.3876
  0.3881,  -0.7606,   0.3753
  0.3547,  -0.7626,   0.3610
  0.3081,  -0.7528,   0.3541
  0.2559,  -0.7448,   0.3367
  0.1920,  -0.7437,   0.3203
  0.1254,  -0.7339,   0.3237
  0.0763,  -0.7266,   0.3191
  0.0623,  -0.7340,   0.3042
  0.0280,  -0.7265,   0.2870
 -0.0031,  -0.7287,   0.2612
 -0.0267,  -0.7332,   0.2462
 -0.0554,  -0.7257,   0.2271
 -0.0808,  -0.7306,   0.2045
 -0.1039,  -0.7315,   0.1998
 -0.1514,  -0.7273,   0.2145
 -0.1808,  -0.7259,   0.2222
 -0.1978,  -0.7284,   0.2153
 -0.2041,  -0.7371,   0.2022
 -0.1932,  -0.7475,   0.1990
 -0.1901,  -0.7476,   0.2009
 -0.1643,  -0.7549,   0.2084
 -0.1512,  -0.7428,   0.2429
 -0.1440,  -0.7210,   0.2876
 -0.1801,  -0.7117,   0.3289
 -0.2127,  -0.6931,   0.3485
 -0.2327,  -0.6872,   0.3591
 -0.2537,  -0.6756,   0.3556
 -0.2560,  -0.6748,   0.3331
 -0.2538,  -0.6990,   0.3076
 -0.2399,  -0.7069,   0.2919
 -0.2543,  -0.7129,   0.2973
 -0.2924,  -0.7033,   0.3356
 -0.3290,  -0.6814,   0.3743
 -0.3778,  -0.6698,   0.3887
 -0.4347,  -0.6574,   0.3865
 -0.4634,  -0.6530,   0.3768
 -0.4743,  -0.6566,   0.3665
 -0.4743,  -0.6483,   0.3659
 -0.4894,  -0.6465,   0.3727
 -0.4966,  -0.6531,   0.3768
 -0.4666,  -0.6513,   0.3768
 -0.4214,  -0.6544,   0.3638
 -0.3783,  -0.6714,   0.3515
 -0.3305,  -0.6892,   0.3613
 -0.3538,  -0.6907,   0.3911
 -0.3523,  -0.6765,   0.4337
 -0.3541,  -0.6641,   0.4846
 -0.3699,  -0.6511,   0.5392
 -0.3999,  -0.6375,   0.5773
 -0.4461,  -0.6354,   0.6029
 -0.4552,  -0.6415,   0.6238
 -0.4752,  -0.6446,   0.6829
 -0.5025,  -0.6222,   0.7680
 -0.5434,  -0.6162,   0.8494
 -0.5968,  -0.6171,   0.9574
 -0.6635,  -0.6094,   1.0472
 -0.6935,  -0.6377,   1.0837
 -0.6928,  -0.6436,   1.0860
 -0.6658,  -0.6586,   1.0507
 -0.6489,  -0.6760,   0.9806
 -0.6217,  -0.7001,   0.9119
 -0.5889,  -0.7135,   0.8614
 -0.5611,  -0.7101,   0.8151
 -0.5308,  -0.7102,   0.7804
 -0.5034,  -0.6940,   0.7517
 -0.4818,  -0.6879,   0.7091
 -0.4623,  -0.6784,   0.6832
 -0.4528,  -0.6585,   0.6841
 -0.4966,  -0.6239,   0.7163
 -0.5464,  -0.5939,   0.7776
 -0.6065,  -0.5635,   0.8576
 -0.6436,  -0.5370,   0.9326
 -0.6603,  -0.5191,   0.9729
 -0.6641,  -0.5257,   0.9760
 -0.6415,  -0.5529,   0.9379
 -0.5914,  -0.5720,   0.8821
 -0.5407,  -0.5922,   0.8479
 -0.5067,  -0.6071,   0.8478
 -0.4938,  -0.6079,   0.8754
 -0.5204,  -0.6013,   0.9071
 -0.5570,  -0.6089,   0.9285
 -0.5999,  -0.6181,   0.9351
 -0.6538,  -0.6334,   0.9304
 -0.7013,  -0.6421,   0.9113
 -0.7599,  -0.6348,   0.9193
 -0.7831,  -0.6563,   0.9517
 -0.7808,  -0.6472,   0.9928
 -0.7645,  -0.6395,   1.0442
 -0.7545,  -0.6278,   1.0857
 -0.7194,  -0.6233,   1.1215
 -0.6719,  -0.6074,   1.1513
 -0.5963,  -0.6005,   1.1623
 -0.5125,  -0.6074,   1.1560
 -0.4175,  -0.6185,   1.1652
 -0.3353,  -0.6279,   1.1878
 -0.2704,  -0.6411,   1.2106
 -0.2371,  -0.6508,   1.2485
 -0.2106,  -0.6565,   1.2731
 -0.2013,  -0.6717,   1.2857
 -0.2321,  -0.6784,   1.2917
 -0.2629,  -0.6901,   1.2843
 -0.2577,  -0.7005,   1.2585
 -0.2423,  -0.7152,   1.2216
 -0.2450,  -0.7274,   1.1914
 -0.2441,  -0.7274,   1.1792
 -0.2084,  -0.7302,   1.1783
 -0.1863,  -0.7262,   1.1761
 -0.1685,  -0.7233,   1.1787
 -0.1596,  -0.7146,   1.1950
 -0.1447,  -0.6951,   1.2057
 -0.1312,  -0.6961,   1.1966
 -0.0887,  -0.6919,   1.1896
 -0.0216,  -0.6870,   1.1973
  0.0602,  -0.6834,   1.2024
  0.1484,  -0.6968,   1.1988
  0.2095,  -0.7019,   1.1962
  0.2387,  -0.7040,   1.1944
  0.2365,  -0.7047,   1.1783
  0.2136,  -0.7045,   1.1397
  0.1968,  -0.7110,   1.0912
  0.1913,  -0.7067,   1.0500
  0.2103,  -0.7033,   1.0182
  0.2543,  -0.6894,   0.9910
  0.3085,  -0.6858,   0.9671
  0.3344,  -0.6758,   0.9447
  0.3574,  -0.6782,   0.9256
  0.3948,  -0.6801,   0.9070
  0.4224,  -0.6726,   0.8976
  0.4256,  -0.6684,   0.8820
  0.4423,  -0.6643,   0.8611
  0.4750,  -0.6640,   0.8494
  0.4924,  -0.6613,   0.8380
  0.5093,  -0.6682,   0.8252
  0.5119,  -0.6666,   0.8186
  0.5026,  -0.6631,   0.8141
  0.4733,  -0.6658,   0.8020
  0.4241,  -0.6696,   0.7892
  0.3753,  -0.6680,   0.7838
  0.3223,  -0.6693,   0.7847
  0.2925,  -0.6577,   0.7843
  0.2725,  -0.6609,   0.7707
  0.2568,  -0.6666,   0.7486
  0.2452,  -0.6762,   0.7188
  0.2006,  -0.6845,   0.6787
  0.1536,  -0.6972,   0.6323
  0.1006,  -0.7030,   0.6065
  0.0630,  -0.7119,   0.5885
  0.0247,  -0.7101,   0.5747
  0.0192,  -0.7066,   0.5598
  0.0364,  -0.7022,   0.5512
  0.0568,  -0.7028,   0.5401
  0.0919,  -0.7075,   0.5321
  0.1024,  -0.7040,   0.5314
  0.1169,  -0.7050,   0.5407
  0.1367,  -0.6917,   0.5484
  0.1560,  -0.6912,   0.5495
  0.1681,  -0.6890,   0.5375
  0.1760,  -0.6950,   0.5355
  0.1830,  -0.6973,   0.5443
  0.1735,  -0.6854,   0.5634
  0.1571,  -0.6842,   0.5779
  0.1428,  -0.6791,   0.5872
  0.1187,  -0.6815,   0.5825
  0.1030,  -0.6922,   0.5670
  0.0861,  -0.6933,   0.5475
  0.0682,  -0.6934,   0.5209
  0.0336,  -0.7002,   0.5076
  0.0062,  -0.6945,   0.4942
 -0.0087,  -0.6983,   0.4902
 -0.0265,  -0.6903,   0.5018
 -0.0670,  -0.6884,   0.5214
 -0.0930,  -0.6792,   0.5337
 -0.1129,  -0.6702,   0.5286
 -0.1417,  -0.6765,   0.4975
 -0.1786,  -0.6770,   0.4513
 -0.1989,  -0.6903,   0.3956
 -0.2007,  -0.6917,   0.3557
 -0.1891,  -0.6967,   0.3367
 -0.1868,  -0.6920,   0.3313
 -0.1963,  -0.6950,   0.3400
 -0.1990,  -0.7001,   0.3457
 -0.2039,  -0.7013,   0.3682
 -0.2293,  -0.6980,   0.3963
 -0.2474,  -0.7064,   0.3994
 -0.2650,  -0.7117,   0.3936
 -0.2864,  -0.7224,   0.3950
 -0.2759,  -0.7255,   0.3917
 -0.2720,  -0.7406,   0.3953
 -0.2531,  -0.7531,   0.4021
 -0.2435,  -0.7643,   0.4177
 -0.2590,  -0.7638,   0.4551
 -0.2954,  -0.7625,   0.4893
 -0.3438,  -0.7743,   0.5150
 -0.3662,  -0.7808,   0.5437
 -0.3849,  -0.7813,   0.5570
 -0.4031,  -0.7877,   0.5592
 -0.4238,  -0.8010,   0.5506
 -0.4230,  -0.8297,   0.5399
 -0.4110,  -0.8533,   0.5370
 -0.4223,  -0.8627,   0.5531
 -0.4321,  -0.8842,   0.5600
 -0.4577,  -0.8943,   0.5613
 -0.4666,  -0.9134,   0.5394
 -0.4671,  -0.9322,   0.5053
 -0.4555,  -0.9512,   0.4898
 -0.4505,  -0.9691,   0.4971
 -0.4646,  -0.9749,   0.5211
 -0.4829,  -0.9807,   0.5159
 -0.4723,  -0.9883,   0.5005
 -0.4810,  -0.9843,   0.4966
 -0.4876,  -0.9853,   0.4932
 -0.4821,  -0.9801,   0.5003
 -0.4627,  -0.9755,   0.5112
 -0.4251,  -0.9710,   0.5346
 -0.3660,  -0.9602,   0.5696
 -0.2952,  -0.9481,   0.5958
 -0.2487,  -0.9377,   0.6140
 -0.1884,  -0.9276,   0.6189
 -0.1321,  -0.9152,   0.6167
 -0.0957,  -0.9096,   0.6028
 -0.0625,  -0.9065,   0.5945
 -0.0337,  -0.8892,   0.6054
 -0.0132,  -0.8747,   0.6178
  0.0061,  -0.8585,   0.6349
  0.0291,  -0.8483,   0.6381
  0.0565,  -0.8428,   0.6310
  0.0768,  -0.8415,   0.6164
  0.0840,  -0.8515,   0.6006
  0.0840,  -0.8537,   0.5582
  0.0896,  -0.8644,   0.5186
  0.0778,  -0.8600,   0.4966
  0.0620,  -0.8632,   0.4722
  0.0547,  -0.8686,   0.4511
  0.0369,  -0.8705,   0.4336
  0.0264,  -0.8677,   0.4247
  0.0027,  -0.8667,   0.4199
 -0.0236,  -0.8706,   0.4171
 -0.0566,  -0.8709,   0.4132
 -0.0751,  -0.8672,   0.4268
 -0.0908,  -0.8689,   0.4423
 -0.0974,  -0.8743,   0.4578
 -0.1021,  -0.8759,   0.4735
 -0.1135,  -0.8808,   0.4856
 -0.1249,  -0.8858,   0.4951
 -0.1296,  -0.8849,   0.5021
 -0.1301,  -0.8842,   0.5087
 -0.1233,  -0.8876,   0.5087
 -0.1088,  -0.8852,   0.5086
 -0.1019,  -0.8863,   0.5039
 -0.0933,  -0.8847,   0.5022
 -0.0929,  -0.8850,   0.5061
 -0.0922,  -0.8933,   0.5131
 -0.1123,  -0.8937,   0.5156
 -0.1160,  -0.9020,   0.5160
 -0.1235,  -0.9048,   0.5164
 -0.1128,  -0.9019,   0.5122
 -0.1108,  -0.8985,   0.5133
 -0.1095,  -0.8949,   0.5164
 -0.1000,  -0.8902,   0.5150
 -0.0894,  -0.8911,   0.5148
 -0.0857,  -0.8889,   0.5131
 -0.0837,  -0.8946,   0.5112
 -0.0856,  -0.8915,   0.5139
 -0.0902,  -0.8904,   0.5288
 -0.1091,  -0.8867,   0.5407
 -0.1353,  -0.8892,   0.5354
 -0.1379,  -0.8877,   0.5206
 -0.1306,  -0.8907,   0.5037
 -0.1147,  -0.8920,   0.4812
 -0.0969,  -0.8966,   0.4588
 -0.0819,  -0.8986,   0.4495
 -0.0669,  -0.9001,   0.4411
 -0.0634,  -0.9036,   0.4429
 -0.0663,  -0.9013,   0.4541
 -0.0625,  -0.8941,   0.4730
 -0.0593,  -0.8874,   0.4911
 -0.0530,  -0.8855,   0.5016
 -0.0532,  -0.8848,   0.5160
 -0.0568,  -0.8839,   0.5275
 -0.0520,  -0.8808,   0.5304
 -0.0431,  -0.8809,   0.5260
 -0.0393,  -0.8793,   0.5132
 -0.0444,  -0.8821,   0.5094
 -0.0483,  -0.8804,   0.5022
 -0.0474,  -0.8828,   0.4972
 -0.0548,  -0.8842,   0.4945
 -0.0562,  -0.8813,   0.4922
 -0.0657,  -0.8827,   0.4915
 -0.0742,  -0.8808,   0.4966
 -0.0828,  -0.8819,   0.5072
 -0.0968,  -0.8838,   0.5122
 -0.1105,  -0.8849,   0.5170
 -0.1117,  -0.8877,   0.5099
 -0.1091,  -0.8885,   0.5049
 -0.1002,  -0.8874,   0.4987
 -0.0830,  -0.8886,   0.4943
 -0.0699,  -0.8887,   0.4920
 -0.0551,  -0.8892,   0.5006
 -0.0476,  -0.8870,   0.5112
 -0.0479,  -0.8855,   0.5238
 -0.0654,  -0.8853,   0.5300
 -0.0819,  -0.8887,   0.5272
 -0.0881,  -0.8921,   0.5232
 -0.0829,  -0.8898,   0.5172
 -0.0774,  -0.8947,   0.5197
 -0.0806,  -0.8966,   0.5296
 -0.0823,  -0.8977,   0.5332
 -0.0807,  -0.8998,   0.5340
 -0.0852,  -0.8955,   0.5379
 -0.0927,  -0.8944,   0.5394
 -0.0984,  -0.8933,   0.5318
 -0.1039,  -0.8950,   0.5228
 -0.1115,  -0.8942,   0.5228
 -0.1088,  -0.8976,   0.5226
 -0.1014,  -0.8954,   0.5186
 -0.0938,  -0.8983,   0.5154
 -0.0825,  -0.8983,   0.5141
 -0.0775,  -0.8966,   0.5208
 -0.0806,  -0.8914,   0.5237
 -0.0697,  -0.8913,   0.5198
 -0.0619,  -0.8876,   0.5108
 -0.0536,  -0.8888,   0.4970
 -0.0529,  -0.8914,   0.4843
 -0.0577,  -0.8858,   0.4895
 -0.0690,  -0.8859,   0.5018
 -0.0782,  -0.8821,   0.5127
 -0.0889,  -0.8814,   0.5244
 -0.0900,  -0.8781,   0.5292
 -0.0936,  -0.8767,   0.5260
 -0.0855,  -0.8799,   0.5131
 -0.0820,  -0.8837,   0.4987
 -0.0825,  -0.8886,   0.4851
 -0.0815,  -0.8931,   0.4758
 -0.0763,  -0.8955,   0.4740
 -0.0806,  -0.8942,   0.4773
 -0.0828,  -0.8915,   0.4856
 -0.0898,  -0.8883,   0.4967
 -0.1003,  -0.8822,   0.5081
 -0.1044,  -0.8803,   0.5104
 -0.1012,  -0.8811,   0.5042
 -0.0880,  -0.8825,   0.4967
 -0.0690,  -0.8866,   0.4815
 -0.0608,  -0.8925,   0.4622
 -0.0603,  -0.8930,   0.4525
 -0.0627,  -0.8928,   0.4569
 -0.0707,  -0.8935,   0.4666
 -0.0743,  -0.8894,   0.4849
 -0.0762,  -0.8850,   0.5036
 -0.0823,  -0.8811,   0.5180
 -0.0800,  -0.8810,   0.5285
 -0.0743,  -0.8825,   0.5346
 -0.0730,  -0.8809,   0.5432
 -0.0769,  -0.8817,   0.5479
 -0.0764,  -0.8837,   0.5502
 -0.0792,  -0.8833,   0.5482
 -0.0927,  -0.8882,   0.5436
 -0.0967,  -0.8893,   0.5346
 -0.0890,  -0.8899,   0.5261
 -0.0887,  -0.8928,   0.5226
 -0.0878,  -0.8950,   0.5166
 -0.0768,  -0.8960,   0.5111
 -0.0736,  -0.8970,   0.5007
 -0.0706,  -0.8977,   0.4928
 -0.0774,  -0.8986,   0.4885
 -0.0846,  -0.8937,   0.4948
 -0.0855,  -0.8883,   0.5020
 -0.0769,  -0.8865,   0.5132
 -0.0692,  -0.8791,   0.5252
 -0.0790,  -0.8784,   0.5337
 -0.0778,  -0.8821,   0.5316
 -0.0813,  -0.8830,   0.5241
 -0.0818,  -0.8836,   0.5103
 -0.0830,  -0.8878,   0.4922
 -0.0828,  -0.8942,   0.4771
 -0.0782,  -0.8936,   0.4721
 -0.0806,  -0.8915,   0.4812
 -0.0809,  -0.8875,   0.5004
 -0.0898,  -0.8821,   0.5172
 -0.0923,  -0.8825,   0.5246
 -0.0897,  -0.8764,   0.5260
 -0.0823,  -0.8811,   0.5181
 -0.0753,  -0.8824,   0.5070
 -0.0747,  -0.8852,   0.4937
 -0.0855,  -0.8942,   0.4889
 -0.0798,  -0.8961,   0.4852
 -0.0813,  -0.8976,   0.4910
 -0.0922,  -0.8971,   0.4999
 -0.0975,  -0.8939,   0.5110
 -0.0968,  -0.8886,   0.5178
 -0.0895,  -0.8913,   0.5142
 -0.0840,  -0.8935,   0.5131
 -0.0800,  -0.8910,   0.5188
 -0.0756,  -0.8909,   0.5215
 -0.0780,  -0.8946,   0.5204
 -0.0828,  -0.8941,   0.5217
 -0.0847,  -0.8943,   0.5242
 -0.0790,  -0.8904,   0.5297
 -0.0764,  -0.8914,   0.5292
 -0.0787,  -0.8900,   0.5300
 -0.0732,  -0.8887,   0.5335
 -0.0626,  -0.8866,   0.5399
 -0.0580,  -0.8837,   0.5442
 -0.0555,  -0.8833,   0.5474
 -0.0521,  -0.8773,   0.5504
 -0.0472,  -0.8731,   0.5464
 -0.0415,  -0.8716,   0.5385
 -0.0376,  -0.8712,   0.5224
 -0.0394,  -0.8791,   0.5017
 -0.0378,  -0.8834,   0.4828
 -0.0389,  -0.8864,   0.4719
 -0.0513,  -0.8876,   0.4600
 -0.0647,  -0.8887,   0.4583
 -0.0762,  -0.8852,   0.4624
 -0.0847,  -0.8866,   0.4686
 -0.0909,  -0.8822,   0.4761
 -0.1102,  -0.8841,   0.4871
 -0.1191,  -0.8831,   0.4929
 -0.1235,  -0.8850,   0.5042
 -0.1227,  -0.8852,   0.5161
 -0.1176,  -0.8867,   0.5233
 -0.0960,  -0.8874,   0.5258
 -0.0819,  -0.8899,   0.5270
 -0.0660,  -0.8904,   0.5243
 -0.0596,  -0.8883,   0.5271
 -0.0671,  -0.8870,   0.5368
 -0.0776,  -0.8839,   0.5488
 -0.0900,  -0.8820,   0.5579
 -0.1043,  -0.8803,   0.5480
 -0.1144,  -0.8814,   0.5303
 -0.1127,  -0.8904,   0.5014
 -0.1060,  -0.8987,   0.4695
 -0.1005,  -0.8999,   0.4567
 -0.0918,  -0.9008,   0.4562
