x, y, z
  0.0464,  -0.8941,   0.4038
  0.1134,  -0.8888,   0.2925
  0.1421,  -0.9467,   0.3121
  0.1619,  -0.9534,   0.3137
  0.1591,  -0.9593,   0.3212
  0.1572,  -0.9494,   0.3370
  0.1515,  -0.9412,   0.3539
  0.1246,  -0.9364,   0.3811
  0.1233,  -0.9312,   0.4185
  0.1321,  -0.9221,   0.4374
  0.1563,  -0.9234,   0.4395
  0.1729,  -0.9237,   0.4351
  0.1809,  -0.9285,   0.4249
  0.1777,  -0.9375,   0.4048
  0.1776,  -0.9507,   0.3805
  0.2072,  -0.9567,   0.3698
  0.2441,  -0.9606,   0.3606
  0.2484,  -0.9648,   0.3746
  0.2465,  -0.9579,   0.4097
  0.2273,  -0.9474,   0.4433
  0.1950,  -0.9428,   0.4624
  0.1570,  -0.9389,   0.4713
  0.1149,  -0.9355,   0.4619
  0.0881,  -0.9422,   0.4281
  0.1058,  -0.9528,   0.3866
  0.1195,  -0.9656,   0.3506
  0.0892,  -0.9679,   0.3352
  0.0580,  -0.9772,   0.3103
  0.0240,  -0.9899,   0.2899
 -0.0189,  -0.9953,   0.2897
 -0.0586,  -0.9953,   0.2944
 -0.1024,  -0.9962,   0.2935
 -0.1251,  -0.9987,   0.3051
 -0.1174,  -0.9905,   0.3128
 -0.1010,  -0.9955,   0.3071
 -0.0696,  -1.0002,   0.3014
 -0.0385,  -0.9970,   0.3042
 -0.0497,  -1.0005,   0.3015
 -0.0692,  -1.0055,   0.2924
 -0.0702,  -1.0069,   0.2842
 -0.0813,  -1.0126,   0.2700
 -0.0874,  -1.0157,   0.2620
 -0.0792,  -1.0161,   0.2594
 -0.0740,  -1.0164,   0.2609
 -0.0670,  -1.0149,   0.2609
 -0.0635,  -1.0215,   0.2609
 -0.0577,  -1.0188,   0.2653
 -0.0552,  -1.0235,   0.2738
 -0.0720,  -1.0108,   0.3025
 -0.0820,  -0.9964,   0.3300
 -0.1073,  -0.9839,   0.3386
 -0.1111,  -0.9744,   0.3411
 -0.1145,  -0.9663,   0.3463
 -0.1085,  -0.9622,   0.3458
 -0.0901,  -0.9615,   0.3344
 -0.0790,  -0.9630,   0.3152
