x, y, z
 65.1265, -65.7369, -65.0655
284.7987, -141.9721, -38.7585
346.0799, -175.3594,  13.7944
 85.2077, -98.4527, -23.4993
  6.1647,  -4.6999,  -7.0803
  5.3713,  -2.8687,  -6.2868
  5.3102,  -1.9532,  -5.6154
  5.1881,  -1.0987,  -5.1271
  4.8219,  -0.6104,  -4.8219
  4.2726,  -1.0376,  -4.5778
  3.6622,  -1.8311,  -4.3336
  3.1129,  -2.1973,  -4.0284
  2.8077,  -2.2584,  -3.6012
  2.5025,  -2.6246,  -3.1129
  2.2584,  -2.5636,  -2.6856
  2.0753,  -1.7701,  -2.1363
  1.8921,  -1.0376,  -1.8311
  1.7090,  -0.7935,  -1.4649
  1.7090,  -1.0987,  -1.4039
  1.8311,  -1.4649,  -1.5259
  2.1363,  -1.5870,  -1.5870
  2.3804,  -0.9766,  -1.5870
  2.8687,  -0.7935,  -1.3428
  3.1739,  -0.3662,  -1.2207
  3.5401,  -0.0610,  -1.1597
  3.7843,  -0.9156,  -1.4649
  3.8453,  -2.5636,  -1.7701
  4.0895,  -4.0284,  -2.1973
  4.2116,  -4.7609,  -2.4415
  4.2726,  -5.2492,  -2.5025
  4.3947,  -6.1647,  -2.7467
  4.3336,  -6.5920,  -3.0519
  4.5778,  -6.5920,  -3.1129
  4.6999,  -5.6764,  -2.9908
  4.8219,  -4.1505,  -2.9908
  5.0661,  -3.9674,  -3.1739
  5.1881,  -4.8830,  -3.4181
  5.3102,  -5.7985,  -3.7843
  5.5544,  -4.9440,  -3.9064
  5.7985,  -3.4791,  -4.0284
  5.9816,  -2.9298,  -4.1505
  6.5310,  -4.1505,  -4.1505
  7.2024,  -5.1271,  -4.0895
  7.4465,  -6.0427,  -4.0284
  7.5076,  -6.7141,  -3.6622
  7.5686,  -5.9816,  -3.1129
  7.5686,  -5.2492,  -2.5025
  7.8738,  -5.6764,  -1.6480
  8.3621,  -6.1647,  -0.3662
  9.0945,  -6.1647,   1.0376
 10.3153,  -6.7141,   2.8687
 11.8412,  -9.8270,   5.0661
 13.4892, -14.0996,   7.8127
 15.4424, -16.1138,  11.2918
 17.2735, -16.3579,  15.1372
 19.5318, -17.3955,  19.9591
 22.2175, -17.2735,  25.3914
 24.9031, -16.2358,  31.4341
 27.1615, -14.2216,  38.1481
 29.1147, -14.9541,  45.2895
 30.9458, -14.5878,  52.9191
 32.1665, -15.0151,  60.2435
 32.1665, -17.7007,  66.9576
 31.4341, -21.1188,  73.2444
 30.0302, -25.2083,  78.7378
 28.6264, -29.7250,  84.4752
 27.7718, -31.9224,  90.5789
 27.3446, -35.7677,  96.6216
 27.3446, -40.7117, 102.8474
 27.4667, -42.1766, 108.3407
 27.8329, -45.5947, 112.8574
 28.6264, -54.7502, 116.2755
 29.4809, -62.8071, 118.2287
 30.1523, -69.2770, 119.2663
 30.9458, -73.1834, 119.8157
 31.4341, -71.7185, 119.5105
 32.3496, -68.4835, 118.4118
 33.9976, -65.5538, 117.3742
 36.1339, -60.4877, 115.9703
 37.3547, -56.8865, 114.0782
 36.9884, -53.5905, 111.0263
 35.1573, -51.1490, 106.7537
 32.1055, -52.7360, 101.8097
 28.3822, -54.9944,  97.0489
 24.7200, -55.1164,  92.5932
 21.1188, -52.3087,  88.6868
 18.0059, -46.2050,  85.6349
 15.6255, -39.8572,  83.3766
 13.3671, -35.9508,  81.4844
 10.7425, -31.6782,  79.2871
  8.1179, -25.6355,  76.7235
  5.7985, -19.1046,  73.9769
  3.7843, -13.5502,  70.8640
  2.3804, -11.6581,  67.3849
  1.2207, -10.4984,  63.7226
  0.3052,  -6.1647,  59.7552
 -0.6104,  -1.2818,  55.6658
 -1.4039,  -0.4883,  51.3321
 -2.3804,  -2.3194,  46.4492
 -3.5401,  -5.4933,  41.0169
 -4.3336,  -9.5218,  35.5235
 -4.6388, -13.5502,  30.2744
 -4.2116, -19.2267,  25.3304
 -2.9908, -22.4006,  20.7526
 -1.5870, -21.2409,  16.7241
 -0.4883, -17.3955,  13.6723
  0.0000, -11.5970,  11.1698
 -0.2441,  -5.9816,   8.9724
 -0.4883,  -3.3570,   6.9582
 -0.7935,  -6.2868,   5.0050
 -0.9766, -11.7191,   2.8077
 -1.0376, -13.7944,   0.1831
 -0.9766, -13.0009,  -2.0142
 -0.6714, -10.4984,  -3.6622
 -0.4883,  -8.4231,  -4.8830
 -0.6104,  -6.3478,  -6.0427
 -1.1597,  -3.0519,  -7.3244
 -2.3804,   0.1221,  -8.6673
 -4.0895,   4.2116,  -9.7659
 -5.8596,  10.5594, -10.9256
 -7.5076,  16.0527, -12.2684
 -9.3387,  18.3721, -13.4281
-11.2308,  18.4332, -15.1372
-13.6113,  12.4516, -17.3955
-16.4190,   5.3102, -20.1422
-19.9591,   5.1271, -23.2551
-24.0486,   9.3387, -26.3070
-28.2601,  16.2358, -29.0536
-32.5327,  22.0954, -31.6782
-36.3170,  24.1707, -33.9366
-39.6130,  23.4993, -35.8287
-42.5428,  24.4148, -37.4157
-45.0453,  29.6640, -38.6364
-47.4868,  36.8053, -39.5520
-49.8672,  43.8856, -40.7727
-51.8204,  51.6984, -42.1766
-53.5295,  57.3748, -44.2518
-54.7502,  59.3280, -46.6323
-55.6658,  58.4735, -49.1958
-56.3982,  57.3138, -52.0035
-56.9475,  57.9852, -54.7502
-57.6189,  59.7552, -57.4969
-58.2904,  59.2669, -59.6942
-58.9618,  58.8397, -61.0981
-59.6942,  60.8539, -61.5864
-60.6708,  64.2109, -61.4643
-62.2578,  68.3615, -61.2201
-64.3330,  71.7185, -61.0981
-66.7745,  69.3991, -61.2812
-69.7653,  62.5019, -61.6474
-72.8782,  56.5813, -61.6474
-75.1976,  54.5671, -60.9149
-76.0521,  56.9475, -59.1449
-74.8314,  60.7929, -56.0930
-71.7795,  63.2344, -52.5529
-67.9952,  66.7135, -49.2569
-64.2109,  69.3991, -47.8530
-61.6474,  67.4459, -49.1348
-59.8773,  61.3422, -51.8204
-58.7786,  50.8438, -54.9944
-57.8021,  38.1481, -57.6800
-56.7034,  26.0628, -59.6332
-55.1775,  17.0904, -60.7318
-53.2853,  10.5594, -60.7929
-51.5763,   8.6062, -59.4501
-50.0504,   9.7659, -57.1917
-49.0127,  11.5970, -54.5061
-48.4024,  10.7425, -51.3321
-47.8530,   8.9114, -47.9141
-47.1816,   9.5828, -44.6181
-45.9609,  11.2308, -40.7727
-44.3129,  17.0904, -37.1105
-42.2376,  24.4758, -33.5704
-39.8572,  28.9926, -30.4575
-37.5988,  31.1289, -28.1381
-35.7677,  30.1523, -26.7953
-33.8755,  26.6732, -25.8797
-31.6782,  20.0812, -25.2083
-28.9315,  14.8930, -24.6590
-25.9407,  10.8036, -24.0486
-22.8278,   6.9582, -23.1941
-19.4098,   3.0519, -22.0954
-15.7476,   0.3052, -20.4474
-12.0243,   0.4273, -18.6163
 -8.3621,   2.9298, -16.7241
 -4.6999,   6.4699, -14.8930
 -0.8545,   9.9490, -12.8788
  3.2960,  11.4750, -10.6204
  7.2024,  13.7944,  -8.6673
 10.8036,  16.6021,  -7.0193
 14.7099,  18.0059,  -5.7985
 18.7994,  17.8228,  -4.9440
 22.7668,  16.0527,  -4.5778
 26.4290,  13.0619,  -4.5778
 29.9692,  10.3153,  -4.4557
 33.6924,   8.4841,  -4.4557
 37.6598,   6.2868,  -4.1505
 42.0545,   2.7467,  -3.4791
 46.9985,  -1.5259,  -2.8077
 51.8815,  -6.0427,  -2.2584
 56.5813,  -9.1556,  -1.8311
 60.4877, -10.6204,  -1.5259
 63.7226, -12.2684,  -1.1597
 66.7135, -12.8788,  -0.3662
 69.2160, -12.3295,   0.7324
 71.5354, -13.2450,   2.3804
 74.1600, -13.7944,   4.2116
 77.0287, -13.6113,   5.8596
 80.1416, -12.5736,   7.2634
 83.1935, -11.2918,   8.4231
 85.8180, -12.2074,   9.3997
 88.2595, -11.3529,  10.0711
 90.5179,  -8.3621,  10.3153
