x, y, z
-25.3304, -54.5061, -92.7152
252.9374, -129.7037, -24.8421
524.6132, -64.6992,  81.7896
-32.7158,  43.7635,   7.9348
-30.5185,  39.6130,   6.4699
 -5.9206,   8.1790,   0.2441
  3.2350,  -3.7233,  -2.3194
  3.4791,  -3.9674,  -2.6246
  3.4791,  -4.1505,  -2.8687
  3.4791,  -4.1505,  -3.0519
  3.4791,  -3.9674,  -3.1129
  3.2350,  -3.7233,  -3.1739
  3.1129,  -3.7233,  -3.2350
  2.9908,  -3.6622,  -3.2960
  2.9908,  -3.5401,  -3.3570
  2.8687,  -3.4181,  -3.2960
  2.8077,  -3.4791,  -3.2960
  2.8077,  -3.6622,  -3.2350
  2.9298,  -3.6622,  -3.1129
  3.0519,  -3.5401,  -3.0519
  3.1129,  -3.1739,  -2.8687
  3.2350,  -3.0519,  -2.8077
  3.4791,  -3.2960,  -2.6246
  3.6012,  -3.2960,  -2.5025
  3.7843,  -3.3570,  -2.3194
  4.0284,  -3.5401,  -2.2584
  4.1505,  -3.9064,  -1.9532
  4.3336,  -4.2116,  -1.7701
  4.3336,  -4.2726,  -1.7090
  4.2726,  -4.2726,  -1.5259
  4.1505,  -4.0895,  -1.4039
  4.0284,  -3.6622,  -1.4649
  3.9064,  -3.6012,  -1.5259
  3.9064,  -3.5401,  -1.5870
  3.9674,  -3.5401,  -1.6480
  3.9674,  -3.7843,  -1.7090
  4.0284,  -4.0284,  -1.8311
  4.0284,  -4.2116,  -1.8921
  4.1505,  -4.3336,  -1.8921
  4.0284,  -4.3336,  -1.8921
  4.0284,  -4.2726,  -2.0142
  3.8453,  -4.0895,  -2.1363
  3.7233,  -3.9674,  -2.3194
  3.4791,  -3.8453,  -2.4415
  3.4181,  -3.9064,  -2.5025
  3.2960,  -3.9064,  -2.6246
  3.1129,  -3.8453,  -2.7467
  3.1129,  -3.9674,  -2.8077
  3.1739,  -4.1505,  -2.8687
  3.1739,  -4.1505,  -2.8687
  3.1739,  -4.1505,  -2.8077
  3.2350,  -3.9674,  -2.8687
