x, y, z
 68.3004, -68.2394, -68.6056
303.5981,  -8.4841, -33.8145
340.9528, -169.5608,  23.0720
 83.1324, -96.6216, -16.6021
  5.9816,  -5.1271,  -0.8545
  4.9440,  -3.9674,  -0.9156
  4.6388,  -3.7843,  -1.1597
  4.3947,  -4.4557,  -1.2207
  4.0284,  -5.1881,  -1.3428
  3.6012,  -5.1881,  -1.5870
  3.4181,  -5.0050,  -1.7701
  3.1739,  -4.6388,  -2.0142
  3.1129,  -4.4557,  -2.0142
  3.2960,  -4.2726,  -2.1973
  3.6622,  -4.1505,  -2.3194
  4.0284,  -4.2116,  -2.2584
  4.2726,  -4.1505,  -2.2584
  4.2726,  -4.2726,  -2.1363
  4.0895,  -3.9064,  -2.1363
  3.6622,  -4.0284,  -2.0142
  3.2960,  -4.0284,  -1.8921
  3.1129,  -3.2960,  -1.8921
  3.1129,  -2.8077,  -1.7701
  3.3570,  -3.2960,  -1.6480
  3.6012,  -3.0519,  -1.4649
  4.0895,  -2.8687,  -1.1597
  4.3336,  -2.8077,  -0.8545
  4.5778,  -2.8077,  -0.6714
  4.5778,  -3.2960,  -0.6714
  4.3947,  -4.2726,  -0.7935
  4.3336,  -5.2492,  -1.0987
  4.3336,  -5.1271,  -1.4649
  4.4557,  -3.7843,  -1.5870
  4.5778,  -2.6856,  -1.7090
  4.6999,  -2.3804,  -1.8311
  4.9440,  -2.6246,  -1.8921
  5.3102,  -3.4791,  -1.7701
  5.5544,  -4.0895,  -1.6480
  5.4933,  -4.2116,  -1.7090
  5.3102,  -4.4557,  -1.6480
  4.9440,  -4.6999,  -1.5870
  4.4557,  -4.2116,  -1.5259
  4.2726,  -3.2960,  -1.5259
  4.3947,  -2.3804,  -1.7701
  4.4557,  -2.9298,  -2.1973
  4.3336,  -3.1739,  -2.5025
  4.1505,  -3.9064,  -2.5636
  3.9674,  -4.2726,  -2.5025
  3.6622,  -3.6622,  -2.3804
  3.4181,  -3.3570,  -2.2584
  3.0519,  -3.7233,  -2.1363
  2.5636,  -3.8453,  -2.3194
  2.0142,  -3.6012,  -2.4415
  1.4039,  -3.5401,  -2.4415
  0.9766,  -3.6622,  -2.3194
  0.4883,  -3.4181,  -2.0753
 -0.2441,  -3.3570,  -1.8921
 -1.0987,  -2.3804,  -1.7701
 -1.7701,  -2.1973,  -1.8921
 -2.3194,  -2.6856,  -2.1363
 -2.7467,  -3.1739,  -2.5636
 -3.0519,  -3.4181,  -2.8077
 -3.0519,  -3.5401,  -2.7467
 -3.0519,  -3.2350,  -2.5025
 -3.1739,  -3.0519,  -2.0142
 -3.2960,  -2.6856,  -1.3428
 -3.7233,  -2.4415,  -0.5493
 -4.1505,  -2.5025,   0.2441
 -4.5167,  -2.8687,   0.6104
 -4.6999,  -3.0519,   0.6104
 -4.5778,  -2.6856,   0.4883
 -4.3947,  -2.1973,   0.3662
 -4.2116,  -1.8921,   0.1831
 -3.7233,  -2.4415,   0.1221
 -3.2960,  -2.4415,   0.1221
 -2.5636,  -2.3194,   0.0000
 -1.8311,  -1.8311,   0.0000
 -0.9156,  -2.1363,   0.0000
  0.0610,  -3.4181,   0.0000
  1.0987,  -4.8219,  -0.1221
  2.5636,  -5.4323,  -0.3052
  4.3947,  -5.9206,  -0.4273
  6.4089,  -6.1647,  -0.4273
  8.5452,  -4.4557,  -0.4273
 10.6204,  -3.0519,  -0.3052
 13.0009,  -2.8077,   0.1221
 15.8086,  -2.3194,   0.6714
 18.9825,  -1.4649,   1.4039
 22.2785,  -1.4039,   2.3194
 25.5745,  -1.4039,   3.2350
 28.8705,  -4.6999,   4.0895
 32.4717,  -7.0193,   4.1505
 35.5846,  -4.8219,   3.8453
 38.4533,  -1.7090,   3.5401
 41.6883,   1.0987,   3.4791
 45.1674,   2.6856,   3.2350
 48.7075,   1.1597,   3.0519
 52.6749,  -0.9156,   2.8077
 56.5813,  -3.2960,   2.5636
 60.6708,  -2.9298,   2.6856
 64.3330,  -6.8972,   2.9298
 67.8732, -12.0853,   3.2960
 71.1692, -13.2450,   4.0895
 74.2210, -10.1932,   5.0661
 77.3949,  -8.4841,   5.6154
 80.5689,  -5.3102,   6.5310
 83.7428,  -6.8361,   7.3244
 86.7336, -15.3203,   8.1179
 89.4192, -26.3680,   8.7893
 91.3724, -31.6782,   9.0335
 92.3490, -35.4015,   9.0335
 92.4100, -33.6924,   9.5828
 91.7386, -28.2601,  10.4984
 90.8231, -19.4098,  11.7191
 89.8465,  -9.2776,  13.1840
 89.4803,  -1.5259,  14.5878
 89.9075,   1.5259,  15.8696
 90.9452,  -1.6480,  16.9073
 92.9594,  -8.6062,  17.9449
 94.9736, -17.0904,  18.6773
 96.6216, -25.0862,  19.0436
 97.5982, -30.0912,  19.2267
 97.8423, -30.0302,  19.5318
 97.5372, -27.1615,  20.0201
 97.3540, -23.0110,  20.5084
 97.2320, -18.9825,  21.3019
 97.3540, -13.5502,  22.3395
 98.2696,  -8.6673,  23.8044
 99.5514,  -4.4557,  25.0862
100.7721,  -2.0142,  26.9173
102.2370,  -0.6714,  28.4433
103.5798,  -3.6622,  28.8705
104.9226,  -6.7751,  28.3212
105.8382,  -6.8361,  26.8563
106.1434,  -7.0193,  24.7200
105.5940,  -2.8687,  22.1564
104.8006,  -3.6012,  19.5929
104.3123,  -4.8830,  17.2735
104.1902,  -8.1179,  15.0761
105.2278, -10.4373,  13.0619
106.6317, -12.1464,  11.3529
107.4862, -12.7567,   9.8880
107.1200, -11.7801,   8.6673
105.5940, -11.7191,   7.9348
103.3967, -13.2450,   7.5686
100.7721, -16.4190,   7.6296
 98.2086, -17.3955,   7.7517
 95.9502, -15.7476,   7.9958
 94.0580, -14.3437,   8.3010
 91.7997, -18.2501,   8.7283
 88.9920, -24.1096,   8.9724
 85.8180, -31.9834,   9.1556
 82.3389, -37.4767,   8.8504
 78.2495, -38.5144,   8.1179
 73.1223, -30.8847,   7.3244
 68.1173, -29.4198,   6.4699
 63.2954, -22.1564,   5.3102
 58.3514, -11.6581,   3.8453
 53.5905,  -4.4557,   2.5025
 48.9517,   1.8921,   1.2207
 44.6181,   6.0427,  -0.0610
 40.2234,   7.2024,  -1.1597
 35.8898,   4.6388,  -2.3804
 31.5561,  -1.0987,  -3.2960
 26.9784,  -8.3621,  -3.8453
 21.9733, -12.0853,  -4.0284
 17.4566,  -9.7659,  -3.7843
 13.5502,  -5.0050,  -3.4181
 10.6204,   0.0610,  -2.9908
  8.6062,   2.9298,  -2.5636
  7.2024,   1.0987,  -2.3194
  6.1647,  -2.0142,  -2.1363
  5.3102,  -5.8596,  -2.0142
  4.9440, -10.6204,  -2.1363
  5.1271, -12.5736,  -2.4415
  5.4933, -11.7191,  -2.9908
  5.8596,  -9.2776,  -3.6622
  6.4699,  -7.6907,  -4.3947
  7.0803,  -7.9348,  -5.2492
  7.4465, -10.0711,  -5.9206
  7.6907, -11.1698,  -6.3478
  7.5686, -10.4373,  -6.5920
  7.1413, -10.6815,  -6.4699
  6.7751, -12.3295,  -6.5920
  7.0803, -12.0853,  -6.8972
  7.9958, -10.8036,  -7.5686
  9.0945, -11.0477,  -8.3621
 10.1932, -12.1464,  -9.0945
 11.0477, -13.3061,  -9.5828
 11.3529, -12.9398,  -9.7049
 11.0477, -11.4139,  -9.4607
  9.8270,  -9.2776,  -8.9724
  8.2400,  -7.6907,  -8.1179
  6.4089,  -6.2868,  -7.1413
  4.9440,  -7.7517,  -5.8596
  3.9674, -11.0477,  -4.6388
  3.4791, -11.9633,  -3.5401
  3.6622, -10.3153,  -2.5636
  4.0895,  -7.8127,  -1.9532
  4.8830,  -6.4699,  -1.7090
  5.8596,  -5.5544,  -1.9532
  6.7751,  -3.7843,  -2.7467
  7.7517,  -3.0519,  -3.8453
  8.6062,  -5.2492,  -4.9440
  9.2776,  -7.6296,  -5.8596
  9.8270,  -9.2776,  -6.4699
 10.0711, -10.4984,  -7.0193
  9.9490, -11.5970,  -7.3855
  9.3387, -12.6957,  -7.3855
  8.4231, -12.4516,  -7.2024
  7.2024, -11.8412,  -6.8972
  6.1647, -10.3763,  -6.4089
  4.9440,  -7.9958,  -5.8596
  3.8453,  -5.9206,  -5.5544
  3.0519,  -4.8830,  -5.1271
  2.6856,  -3.6622,  -4.8219
  2.8077,  -2.5636,  -4.5778
  3.1739,  -1.8311,  -4.3336
  3.4791,  -1.9532,  -4.0895
  4.0284,  -3.3570,  -3.9064
  4.4557,  -4.0284,  -3.7233
  4.5167,  -4.1505,  -3.4791
  4.2116,  -3.5401,  -3.2960
  3.6622,  -2.5636,  -3.0519
  3.0519,  -2.4415,  -2.9908
  2.4415,  -3.6622,  -2.9298
  2.1363,  -5.0050,  -2.8077
  2.0753,  -4.6999,  -2.5636
  2.0753,  -3.3570,  -2.4415
  2.2584,  -2.8687,  -2.3194
  2.5636,  -3.3570,  -2.3804
  2.9908,  -3.4181,  -2.3804
  3.2960,  -2.8687,  -2.3804
  3.4791,  -2.0753,  -2.3194
  3.6622,  -2.4415,  -2.2584
  4.0284,  -3.6622,  -2.1363
  4.1505,  -4.8830,  -1.9532
  4.3336,  -5.1271,  -1.6480
  4.2726,  -4.3947,  -1.4649
  4.2116,  -3.7843,  -1.4039
  4.2116,  -3.7233,  -1.4039
  4.0284,  -2.9298,  -1.4039
  3.9674,  -2.3194,  -1.5870
  3.7233,  -1.6480,  -1.7090
  3.6622,  -1.7701,  -1.7701
  3.6012,  -2.0142,  -1.7701
  3.5401,  -2.4415,  -1.6480
  3.6012,  -3.2960,  -1.5259
  3.7843,  -4.2726,  -1.4649
  3.8453,  -3.8453,  -1.4649
  3.7843,  -2.7467,  -1.4039
  3.8453,  -1.7090,  -1.4649
  3.8453,  -1.4039,  -1.4649
  3.7233,  -1.5870,  -1.5870
  3.6622,  -2.2584,  -1.5870
  3.6012,  -3.7233,  -1.5870
  3.5401,  -5.0661,  -1.3428
  3.5401,  -5.4933,  -1.2207
  3.7843,  -4.8219,  -1.2207
  3.9064,  -3.4791,  -1.4039
  4.1505,  -2.3804,  -1.7090
  4.5778,  -2.2584,  -2.1973
  4.8219,  -2.8687,  -2.5025
  5.1881,  -3.9674,  -2.6856
  5.1881,  -4.6388,  -2.6246
  4.8830,  -4.9440,  -2.5636
  4.3947,  -5.0050,  -2.5025
  3.9674,  -5.1881,  -2.3804
  3.4791,  -5.0661,  -2.1363
  2.9908,  -4.6999,  -1.8921
  2.5025,  -4.2726,  -1.6480
  2.1363,  -3.8453,  -1.4039
  1.9532,  -3.1739,  -1.3428
  1.8921,  -2.0753,  -1.2207
  2.0753,  -1.3428,  -1.2818
  2.3194,  -0.9766,  -1.4039
  2.6856,  -1.2207,  -1.6480
  2.8687,  -1.7090,  -1.8921
  3.1129,  -2.3804,  -1.8921
  3.4791,  -3.5401,  -1.9532
  3.5401,  -4.6388,  -1.9532
  3.5401,  -4.8219,  -1.9532
  3.6012,  -4.0895,  -1.9532
  3.7843,  -3.6012,  -1.9532
  3.7233,  -3.5401,  -2.0142
  3.7233,  -3.4181,  -1.8311
  3.8453,  -3.0519,  -1.7090
  4.0284,  -2.6246,  -1.5870
  4.2116,  -2.7467,  -1.7090
  4.3947,  -3.9064,  -2.0753
  4.4557,  -4.5778,  -2.3804
  4.4557,  -4.0895,  -2.6856
  4.3336,  -3.2350,  -2.8077
  4.2726,  -3.1739,  -2.8077
  4.2116,  -3.4181,  -2.7467
  4.0895,  -3.4791,  -2.4415
  4.0895,  -3.4791,  -2.1973
  4.0895,  -3.7843,  -1.9532
  4.0284,  -4.1505,  -1.7701
  4.0284,  -4.5167,  -1.7090
  3.9674,  -4.6388,  -1.5870
  4.0284,  -4.2726,  -1.4649
  4.0284,  -3.5401,  -1.2818
  4.0284,  -2.7467,  -1.2818
  3.9674,  -1.7701,  -1.2207
