x, y, z
 68.1173, -68.3004, -68.6666
301.0346,  -7.0193, -39.2468
339.5490, -168.1570,  18.9215
 80.4468, -94.1801, -22.5837
  2.9298,  -1.7701,  -6.7751
  1.7090,  -0.9156,  -6.4089
  1.2818,  -0.9156,  -6.4089
  1.2207,  -1.4649,  -6.3478
  1.1597,  -1.4039,  -6.2258
  1.0376,  -0.8545,  -5.9816
  1.2207,  -1.2818,  -5.4933
  1.4039,  -2.5025,  -5.0661
  1.4649,  -3.6012,  -4.6388
  1.5259,  -3.4791,  -4.2116
  1.4039,  -2.8687,  -3.8453
  1.1597,  -2.5636,  -3.6012
  1.0376,  -2.1973,  -3.3570
  0.7935,  -1.7701,  -3.1129
  0.7324,  -1.7090,  -2.6856
  0.6714,  -1.4039,  -2.2584
  0.5493,  -1.5259,  -1.7701
  0.6104,  -2.1363,  -1.3428
  0.9156,  -2.5025,  -0.8545
  1.0376,  -2.4415,  -0.4273
  1.2818,  -2.8687,  -0.1221
  1.5259,  -2.4415,   0.1221
  1.9532,  -2.1363,   0.3662
  2.3804,  -1.7090,   0.4883
  2.6246,  -1.2207,   0.4883
  2.5636,  -1.2818,   0.3052
  2.3194,  -1.9532,   0.0000
  2.0753,  -2.6246,  -0.3052
  1.8921,  -3.6012,  -0.6104
  2.0142,  -4.2116,  -0.8545
  2.1363,  -3.2350,  -0.6104
  2.3194,  -2.2584,  -0.1831
  2.5636,  -2.0753,   0.0000
  2.7467,  -1.8921,   0.0610
  2.8077,  -2.1363,  -0.1221
  2.9298,  -2.9908,  -0.5493
  3.4181,  -5.0050,  -1.0376
  3.7233,  -6.5920,  -1.4039
  3.9674,  -7.2024,  -1.5259
  4.2116,  -6.6530,  -1.2818
  4.0895,  -5.6154,  -1.2207
  3.6622,  -6.0427,  -0.9156
  3.2960,  -7.0193,  -0.4883
  3.1739,  -8.1790,   0.1221
  3.0519,  -9.7049,   0.8545
  2.9298,  -9.5218,   1.8311
  2.6246,  -8.9724,   2.8687
  2.4415,  -8.5452,   4.0895
  2.4415, -10.0101,   5.2492
  2.1363, -10.9867,   6.3478
  1.5870, -11.4750,   7.5076
  1.3428, -12.6347,   8.5452
  1.1597, -14.2216,   9.4607
  1.3428, -16.6631,  10.4373
  1.7701, -19.8370,  11.7191
  2.3804, -22.1564,  13.1840
  3.1739, -23.1941,  15.0151
  4.3947, -24.2927,  17.2124
  5.6764, -24.9031,  19.6539
  7.2024, -26.7953,  22.2175
  8.6062, -28.6874,  25.0252
  9.6438, -29.2978,  27.7108
  9.7049, -30.2133,  30.0912
  9.3387, -30.7627,  32.2275
  8.7283, -31.3730,  34.4249
  7.9958, -31.0068,  36.5612
  7.4465, -30.9458,  38.8195
  6.9582, -30.5185,  41.1390
  6.7141, -28.6874,  43.5194
  6.7751, -27.2835,  45.8388
  6.8361, -26.9784,  47.7309
  7.3244, -28.3212,  49.1958
  8.2400, -30.7016,  50.2945
  8.9724, -33.5093,  50.7828
  9.8270, -36.3170,  50.9049
 10.6815, -36.6222,  51.0269
 11.4139, -36.3170,  50.7828
 12.6347, -36.6222,  50.5997
 13.8554, -36.5612,  50.1114
 15.3203, -37.1105,  49.6841
 17.0904, -38.0261,  49.1958
 19.1046, -38.0261,  48.4634
 20.8136, -38.7585,  47.4258
 22.4006, -40.1013,  46.2050
 24.1096, -41.2610,  44.8622
 26.0628, -42.2987,  43.7635
 28.2601, -42.9701,  42.8480
 30.3964, -44.3739,  42.2987
 32.6548, -44.9843,  42.2987
 34.5470, -43.9467,  42.6649
 35.8898, -41.7493,  43.1532
 36.6832, -40.7117,  43.3973
 37.1715, -40.1013,  43.2752
 37.5988, -38.1481,  42.8480
 38.0871, -35.9508,  42.1766
 39.0027, -33.6924,  41.5052
 40.4065, -32.9600,  41.2610
 42.3597, -32.6548,  41.4441
 44.1908, -32.6548,  41.6272
 45.7778, -32.8379,  41.4441
 46.7544, -31.1289,  40.4065
 47.7309, -29.6640,  38.8806
 48.8296, -30.2744,  36.6832
 50.1114, -31.1899,  34.1197
 51.5152, -30.6406,  31.1899
 53.1022, -29.4198,  28.2601
 54.6892, -30.8847,  25.2693
 56.1541, -34.8521,  22.3395
 57.8021, -37.9040,  19.7150
 59.5721, -38.7585,  17.5176
 61.4032, -37.7819,  15.8086
 63.3564, -35.1573,  14.7099
 65.3096, -35.2794,  13.9164
 66.7745, -33.0210,  13.0619
 67.6901, -28.9315,  12.2684
 68.0563, -24.4758,  11.5360
 68.1784, -21.8513,  10.6204
 68.3004, -22.4616,   9.5218
 68.5446, -22.2175,   8.3010
 68.4225, -20.0201,   7.0193
 67.6290, -15.8696,   5.5544
 66.0421, -10.3153,   3.8453
 63.6616,  -5.1881,   1.7090
 60.3656,  -2.7467,  -0.9766
 56.9475,  -2.8687,  -3.9674
 53.6515,  -2.5025,  -6.8972
 50.9049,  -1.7090,  -9.5218
 49.3179,  -2.0142, -11.7801
 48.7075,  -2.5636, -13.8554
 48.5244,  -1.5259, -15.5644
 49.0738,   0.0610, -16.8462
 49.9283,   1.9532, -17.7007
 50.9049,   4.2116, -18.3721
 52.6139,   5.5544, -18.7384
 54.4450,   6.6530, -18.8604
 56.3372,   8.7893, -18.9215
 57.6800,  11.5970, -19.4708
 58.5345,  14.4047, -20.6915
 58.3514,  15.8086, -22.5227
 57.3138,  17.8228, -25.0252
 55.6047,  19.8981, -27.7718
 53.8957,  20.7526, -30.5185
 52.7360,  22.2175, -33.0210
 52.1256,  26.3070, -34.8521
 52.1256,  33.0821, -35.9508
 52.2477,  38.9416, -36.5612
 52.2477,  43.6415, -36.8053
 51.9425,  46.7544, -37.2326
 51.8204,  49.0738, -38.1481
 51.6984,  49.9283, -39.4910
 51.6373,  48.0972, -41.5052
 52.1256,  44.8622, -44.3129
 52.9191,  41.6272, -48.0972
 53.4684,  38.7585, -52.5529
 53.5295,  36.2560, -57.0086
 52.9801,  33.5093, -61.4643
 52.0035,  28.9315, -65.7369
 50.3555,  25.0862, -69.8874
 48.4634,  21.9733, -73.7327
 46.2050,  20.0201, -76.7846
 44.1298,  19.4098, -78.9819
 41.6883,  20.0201, -80.0195
 38.8806,  22.8278, -80.2026
 35.6456,  26.9173, -79.7143
 32.1055,  31.7393, -78.7988
 28.2601,  37.0495, -77.7612
 24.5979,  41.7493, -76.7235
 20.8136,  43.6415, -75.9911
 17.4566,  42.2987, -75.6859
 14.3437,  40.9558, -75.5638
 11.7191,  40.9558, -75.5638
  9.4607,  39.1858, -75.7469
  7.3855,  35.4015, -75.9301
  5.1271,  32.5327, -76.1742
  2.8687,  30.8237, -76.3573
  0.6104,  29.3588, -76.5404
 -1.8311,  27.1615, -76.7235
 -4.3947,  25.1473, -76.9066
 -7.0193,  22.4006, -77.0287
 -9.6438,  20.0201, -76.7846
-12.4516,  19.5929, -76.0521
-15.5034,  20.5695, -74.4652
-18.5553,  21.5461, -71.7185
-21.6681,  22.9499, -68.3615
-24.9031,  24.4758, -64.8824
-28.0160,  25.3304, -61.5864
-30.7016,  24.5369, -58.9007
-32.6548,  22.0954, -56.8255
-33.8145,  18.1890, -54.9944
-34.9132,  13.9775, -53.4074
-35.7677,  10.3153, -51.4542
-36.6222,   7.9348, -49.1958
-37.3547,   5.0050, -46.6323
-37.8430,   0.7935, -44.0077
-38.4533,  -2.6246, -41.0779
-39.0027,  -4.3336, -37.9650
-39.5520,  -6.4089, -34.8521
-39.9182,  -8.1179, -31.4341
-40.3455,  -8.6062, -27.7718
-40.7727,  -8.9724, -23.7434
-41.2610,  -9.2776, -19.4098
-41.7493,  -8.7893, -15.0761
-42.3597,  -7.1413, -10.8646
-43.0311,  -6.0427,  -6.9582
-43.3973,  -7.2024,  -3.5401
-43.8246,  -9.3997,  -0.6104
-44.3739, -11.9633,   1.8311
-45.1064, -13.6113,   3.9064
-45.9609, -14.5268,   5.7375
-46.6933, -14.5878,   7.5686
-47.1206, -13.6113,   9.0335
-47.0595, -12.7567,  10.0711
-46.4492, -12.6957,  10.6204
-45.5947, -14.9541,  10.6204
-44.4349, -18.8604,  10.1321
-43.0311, -24.8421,   9.4607
-41.6272, -31.0068,   8.6062
-40.1013, -35.6456,   7.9958
-38.5144, -39.8572,   7.5686
-37.1715, -41.9935,   7.5686
-35.7067, -44.3129,   7.9348
-34.5470, -46.0830,   8.4231
-33.6314, -46.0830,   9.0945
-32.7158, -45.8998,  10.1321
-31.7393, -46.5712,  11.4139
-30.7016, -47.7309,  13.0009
-29.7861, -48.1582,  14.5878
-29.2978, -48.0972,  16.3579
-28.7484, -47.9751,  18.0670
-28.4433, -47.8530,  19.5929
-28.1381, -48.7075,  21.0578
-27.9550, -48.6465,  22.4006
-27.4667, -47.4258,  23.5603
-26.6732, -46.2050,  24.6590
-25.6355, -46.6323,  25.5135
-24.3538, -47.5478,  26.2459
-22.9499, -47.4868,  26.7953
-21.9123, -46.6323,  27.2225
-21.1798, -46.3881,  27.5887
-20.7526, -45.2895,  27.6498
-20.5084, -43.2142,  27.4667
-20.0812, -41.6883,  26.9784
-18.8604, -42.9090,  26.1849
-16.8462, -46.0219,  25.3304
-14.5878, -48.0972,  24.4758
-11.9633, -49.1348,  23.7434
 -9.2776, -49.8672,  23.3772
 -6.7751, -51.8204,  23.1941
 -4.4557, -52.8581,  23.0720
 -2.5636, -51.0269,  22.8889
 -1.1597, -48.4634,  22.4006
 -0.0610, -46.3271,  21.6681
  1.2818, -45.1064,  20.8136
  2.6246, -45.7778,  20.0201
