x, y, z
 69.1549, -70.2536, -68.7277
281.9910,  28.1991, 113.8951
337.8399, -167.3025,  26.4901
 80.2637, -96.8047, -18.4332
  2.8687,  -4.1505,  -2.7467
  2.5636,  -2.8687,  -2.8687
  2.8687,  -2.0142,  -3.0519
  3.0519,  -1.0987,  -3.2350
  3.0519,  -1.0987,  -3.2960
  2.8687,  -2.3804,  -3.4181
  2.6856,  -3.9674,  -3.6622
  2.5025,  -4.6999,  -3.8453
  2.3804,  -4.5778,  -3.7843
  2.3194,  -3.7233,  -3.7233
  2.6246,  -3.9064,  -3.8453
  2.9298,  -5.1271,  -3.7843
  3.2960,  -6.2258,  -3.8453
  3.7233,  -6.5920,  -3.9064
  4.1505,  -5.6764,  -3.7843
  4.6999,  -4.5167,  -3.4181
  5.0050,  -3.6012,  -3.1129
  5.0050,  -3.2350,  -2.6856
  4.8830,  -2.7467,  -2.1363
  4.6999,  -3.2960,  -1.7090
  4.8219,  -4.2726,  -1.0987
  4.8830,  -4.2116,  -0.6104
  4.8830,  -3.0519,  -0.1221
  4.8830,  -1.9532,   0.3052
  4.6999,  -1.8921,   0.6104
  4.4557,  -2.7467,   0.6714
  4.3947,  -3.3570,   0.7324
  4.6388,  -2.9908,   0.8545
  5.0050,  -3.1739,   1.0987
  5.7375,  -3.6012,   1.2818
  6.7141,  -3.5401,   1.6480
  7.7517,  -3.2960,   2.0142
  8.8504,  -2.3804,   2.5636
  9.9490,  -1.5259,   3.1739
 11.1698,  -1.4649,   3.6622
 12.5126,  -2.6246,   4.2116
 14.0385,  -4.0895,   4.6999
 15.6865,  -4.9440,   5.3713
 17.2124,  -4.9440,   6.2258
 18.6773,  -5.3713,   7.2024
 20.3253,  -7.1413,   8.2400
 22.0344, -11.7191,   9.3387
 23.9875, -15.9917,  10.4984
 26.3680, -17.7618,  11.8412
 28.8705, -18.3721,  13.3061
 31.5561, -18.7384,  14.8930
 34.1807, -18.7384,  16.6631
 36.1950, -18.7994,  18.8604
 37.3547, -17.7007,  21.5461
 37.7819, -15.6255,  24.6590
 37.2326, -13.9164,  28.2601
 35.8287, -13.7333,  32.2275
 33.4483,  -7.6296,  35.9508
 30.2744,  -4.3336,  39.7961
 26.3680,  -2.6856,  43.3973
 22.0954,  -3.1739,  46.7544
 17.5787,  -2.3194,  49.9893
 12.8178,   1.5870,  53.0412
  7.7517,   4.8219,  55.6047
  2.5025,   5.3713,  57.8631
 -2.8687,   2.5636,  59.6942
 -8.1179,  -1.4039,  61.4032
-13.3671,  -3.3570,  63.0512
-18.3111,  -3.7843,  64.6382
-23.0720,  -3.7843,  66.1031
-27.4056,  -5.7985,  67.4459
-31.2510,  -9.9490,  68.8498
-34.3028, -13.0619,  70.2536
-36.3781, -13.2450,  72.0847
-37.8430, -12.3295,  74.2821
-38.6364,  -8.9114,  76.6015
-39.1858,  -1.0376,  79.2261
-40.1013,  10.6815,  82.0948
-41.5662,  20.9967,  84.9635
-43.2752,  27.4056,  87.5271
-44.8622,  31.0678,  89.4803
-46.4492,  35.4015,  90.3958
-48.1582,  40.8338,  90.7620
-50.1114,  45.1674,  90.4569
-51.8204,  49.0738,  89.1751
-53.8957,  53.4074,  87.2219
-56.0930,  56.8865,  84.5363
-58.1072,  59.9994,  80.7520
-59.7552,  58.9618,  75.9911
-61.1591,  53.1022,  70.6198
-62.8681,  48.4634,  65.1875
-65.1265,  46.9375,  60.0604
-67.7511,  48.2192,  54.8112
-70.7419,  48.7075,  49.4400
-73.7938,  44.9843,  44.1908
-76.7846,  39.6741,  39.1247
-79.2871,  35.3404,  35.0352
-81.5455,  34.0587,  31.4951
-83.4376,  35.8287,  28.1991
-84.9635,  36.9274,  24.5369
-86.0012,  35.6456,  20.2033
-86.3063,  31.0068,  15.5644
-85.6960,  24.4148,  10.5594
-84.1090,  20.2033,   5.6764
-81.3013,  20.9967,   1.0376
-77.3949,  26.1849,  -3.6012
-73.1223,  32.2886,  -8.7893
-68.9718,  36.3781, -14.7710
-65.0044,  39.1247, -21.9123
-61.0981,  41.6883, -29.6640
-57.1306,  42.5428, -37.7209
-53.4684,  41.9324, -45.6557
-50.5387,  40.0403, -53.4074
-47.6699,  36.0118, -60.5487
-44.6791,  30.0302, -67.2628
-41.7493,  22.2785, -73.3055
-38.5144,  15.7476, -78.6767
