x, y, z
  0.0077,  -0.5703,   0.8888
  0.0723,  -0.5639,   0.8020
  0.0780,  -0.5965,   0.8487
  0.0830,  -0.5954,   0.8520
  0.0864,  -0.5928,   0.8579
  0.0798,  -0.5943,   0.8676
  0.0735,  -0.5932,   0.8769
  0.0608,  -0.5932,   0.8972
  0.0491,  -0.5960,   0.9121
  0.0466,  -0.5925,   0.9169
  0.0490,  -0.5878,   0.9096
  0.0616,  -0.5911,   0.8865
  0.0581,  -0.5925,   0.8800
  0.0614,  -0.5906,   0.8695
  0.0642,  -0.5958,   0.8617
  0.0558,  -0.5921,   0.8590
  0.0437,  -0.5927,   0.8523
  0.0233,  -0.5935,   0.8472
  0.0140,  -0.5908,   0.8375
  0.0199,  -0.5974,   0.8212
  0.0297,  -0.5966,   0.8117
  0.0381,  -0.6012,   0.8076
  0.0387,  -0.6007,   0.8078
  0.0269,  -0.5984,   0.8119
  0.0038,  -0.6022,   0.8174
 -0.0084,  -0.6008,   0.8263
 -0.0055,  -0.6029,   0.8267
  0.0022,  -0.6039,   0.8297
  0.0067,  -0.6039,   0.8295
  0.0018,  -0.6054,   0.8292
  0.0023,  -0.6035,   0.8283
  0.0105,  -0.6029,   0.8229
  0.0280,  -0.6039,   0.8153
  0.0227,  -0.6002,   0.8197
  0.0009,  -0.5983,   0.8207
 -0.0115,  -0.5980,   0.8303
 -0.0106,  -0.5947,   0.8313
  0.0088,  -0.5988,   0.8312
  0.0133,  -0.5924,   0.8288
  0.0132,  -0.5951,   0.8225
  0.0144,  -0.5961,   0.8147
  0.0262,  -0.5899,   0.8241
  0.0341,  -0.5868,   0.8383
  0.0603,  -0.5819,   0.8473
  0.0868,  -0.5836,   0.8479
  0.1027,  -0.5774,   0.8437
  0.1220,  -0.5820,   0.8192
  0.1619,  -0.5869,   0.7963
  0.1987,  -0.5880,   0.7710
  0.2439,  -0.5916,   0.7354
  0.2839,  -0.5933,   0.7221
  0.3447,  -0.5969,   0.7063
  0.4494,  -0.6110,   0.6880
  0.5316,  -0.6269,   0.6781
  0.6017,  -0.6251,   0.6540
