x, y, z
 -0.0178,  -0.0048,   1.0608
  0.0170,   0.0017,   0.9724
  0.0181,   0.0077,   1.0473
  0.0161,   0.0083,   1.0492
  0.0156,   0.0082,   1.0474
  0.0166,   0.0071,   1.0463
  0.0165,   0.0077,   1.0440
  0.0177,   0.0093,   1.0425
  0.0177,   0.0112,   1.0430
  0.0168,   0.0114,   1.0436
  0.0140,   0.0111,   1.0437
  0.0140,   0.0103,   1.0451
  0.0148,   0.0078,   1.0464
  0.0162,   0.0056,   1.0467
  0.0209,   0.0068,   1.0473
  0.0229,   0.0060,   1.0450
  0.0227,   0.0074,   1.0459
  0.0206,   0.0072,   1.0443
  0.0162,   0.0096,   1.0447
  0.0153,   0.0103,   1.0472
  0.0118,   0.0112,   1.0459
  0.0136,   0.0101,   1.0439
  0.0145,   0.0116,   1.0431
  0.0176,   0.0110,   1.0436
  0.0190,   0.0094,   1.0446
  0.0181,   0.0084,   1.0439
  0.0182,   0.0090,   1.0446
  0.0170,   0.0082,   1.0468
  0.0188,   0.0074,   1.0476
  0.0211,   0.0074,   1.0473
  0.0206,   0.0054,   1.0452
  0.0206,   0.0077,   1.0440
  0.0189,   0.0081,   1.0428
  0.0154,   0.0101,   1.0435
  0.0129,   0.0114,   1.0426
  0.0117,   0.0105,   1.0448
  0.0120,   0.0096,   1.0453
  0.0155,   0.0096,   1.0447
  0.0189,   0.0078,   1.0454
  0.0222,   0.0066,   1.0443
  0.0221,   0.0067,   1.0457
  0.0198,   0.0074,   1.0451
  0.0179,   0.0087,   1.0464
  0.0159,   0.0087,   1.0475
  0.0136,   0.0079,   1.0456
  0.0156,   0.0090,   1.0464
  0.0181,   0.0094,   1.0419
  0.0194,   0.0098,   1.0412
  0.0193,   0.0104,   1.0420
  0.0165,   0.0111,   1.0448
  0.0148,   0.0088,   1.0465
  0.0132,   0.0067,   1.0452
  0.0153,   0.0065,   1.0452
  0.0181,   0.0085,   1.0450
  0.0210,   0.0081,   1.0451
  0.0229,   0.0077,   1.0447
  0.0197,   0.0099,   1.0440
  0.0167,   0.0099,   1.0456
  0.0131,   0.0099,   1.0450
  0.0117,   0.0111,   1.0461
  0.0137,   0.0099,   1.0450
  0.0156,   0.0079,   1.0457
  0.0171,   0.0079,   1.0437
  0.0198,   0.0077,   1.0432
  0.0192,   0.0093,   1.0442
  0.0173,   0.0090,   1.0457
  0.0170,   0.0095,   1.0445
  0.0153,   0.0105,   1.0454
  0.0146,   0.0094,   1.0457
  0.0181,   0.0098,   1.0452
  0.0195,   0.0070,   1.0437
  0.0188,   0.0084,   1.0425
  0.0176,   0.0084,   1.0432
  0.0139,   0.0088,   1.0445
  0.0134,   0.0084,   1.0450
  0.0155,   0.0090,   1.0442
  0.0160,   0.0085,   1.0456
  0.0204,   0.0103,   1.0442
  0.0211,   0.0103,   1.0441
  0.0205,   0.0084,   1.0426
  0.0181,   0.0065,   1.0428
  0.0151,   0.0073,   1.0464
  0.0150,   0.0082,   1.0464
  0.0143,   0.0104,   1.0463
  0.0156,   0.0081,   1.0458
  0.0194,   0.0077,   1.0442
  0.0198,   0.0078,   1.0425
  0.0203,   0.0100,   1.0432
  0.0154,   0.0106,   1.0441
  0.0140,   0.0111,   1.0462
  0.0115,   0.0096,   1.0440
  0.0131,   0.0078,   1.0443
  0.0157,   0.0061,   1.0452
  0.0200,   0.0065,   1.0435
  0.0215,   0.0085,   1.0437
  0.0212,   0.0078,   1.0429
  0.0184,   0.0094,   1.0450
  0.0146,   0.0087,   1.0456
  0.0138,   0.0100,   1.0463
  0.0143,   0.0087,   1.0443
  0.0162,   0.0079,   1.0440
  0.0168,   0.0082,   1.0417
  0.0183,   0.0083,   1.0418
  0.0184,   0.0095,   1.0428
  0.0166,   0.0083,   1.0443
  0.0153,   0.0094,   1.0450
