x, y, z
 -0.0374,  -0.9519,   0.1525
 -0.0146,  -0.9434,   0.0637
 -0.0138,  -0.9994,   0.0770
 -0.0181,  -1.0033,   0.0647
 -0.0206,  -1.0025,   0.0577
 -0.0190,  -1.0042,   0.0474
 -0.0171,  -1.0044,   0.0443
 -0.0144,  -1.0049,   0.0444
 -0.0071,  -1.0038,   0.0442
 -0.0020,  -1.0037,   0.0504
  0.0015,  -1.0044,   0.0532
  0.0050,  -1.0039,   0.0548
  0.0076,  -1.0045,   0.0544
  0.0112,  -1.0052,   0.0507
  0.0120,  -1.0044,   0.0480
  0.0142,  -1.0048,   0.0414
  0.0178,  -1.0050,   0.0374
  0.0214,  -1.0056,   0.0371
  0.0240,  -1.0053,   0.0347
  0.0238,  -1.0049,   0.0323
  0.0259,  -1.0058,   0.0303
  0.0281,  -1.0065,   0.0251
  0.0286,  -1.0055,   0.0193
  0.0259,  -1.0080,   0.0167
  0.0272,  -1.0076,   0.0189
  0.0286,  -1.0063,   0.0236
  0.0303,  -1.0054,   0.0334
  0.0277,  -1.0060,   0.0424
  0.0240,  -1.0050,   0.0496
  0.0172,  -1.0047,   0.0510
  0.0120,  -1.0044,   0.0515
  0.0079,  -1.0043,   0.0508
  0.0070,  -1.0043,   0.0455
  0.0015,  -1.0052,   0.0375
 -0.0021,  -1.0058,   0.0341
 -0.0015,  -1.0055,   0.0331
  0.0040,  -1.0055,   0.0382
  0.0021,  -1.0044,   0.0397
  0.0015,  -1.0048,   0.0457
  0.0050,  -1.0038,   0.0519
  0.0024,  -1.0037,   0.0574
 -0.0035,  -1.0025,   0.0579
 -0.0021,  -1.0033,   0.0584
 -0.0012,  -1.0033,   0.0579
 -0.0031,  -1.0043,   0.0544
 -0.0006,  -1.0036,   0.0497
  0.0009,  -1.0048,   0.0427
  0.0035,  -1.0050,   0.0404
  0.0062,  -1.0055,   0.0399
  0.0081,  -1.0056,   0.0380
  0.0105,  -1.0067,   0.0321
  0.0112,  -1.0075,   0.0332
  0.0132,  -1.0056,   0.0326
  0.0139,  -1.0055,   0.0302
  0.0175,  -1.0054,   0.0332
  0.0212,  -1.0054,   0.0396
  0.0184,  -1.0054,   0.0441
  0.0199,  -1.0034,   0.0492
  0.0197,  -1.0047,   0.0461
  0.0168,  -1.0052,   0.0402
  0.0166,  -1.0056,   0.0338
  0.0150,  -1.0052,   0.0303
  0.0157,  -1.0058,   0.0316
  0.0143,  -1.0059,   0.0334
  0.0188,  -1.0059,   0.0359
  0.0161,  -1.0047,   0.0387
  0.0134,  -1.0053,   0.0475
  0.0131,  -1.0048,   0.0494
  0.0084,  -1.0045,   0.0477
  0.0028,  -1.0049,   0.0442
  0.0012,  -1.0044,   0.0419
  0.0039,  -1.0049,   0.0420
  0.0040,  -1.0044,   0.0414
  0.0023,  -1.0045,   0.0427
  0.0051,  -1.0054,   0.0432
  0.0077,  -1.0058,   0.0426
  0.0087,  -1.0053,   0.0426
  0.0109,  -1.0056,   0.0425
  0.0120,  -1.0054,   0.0414
  0.0145,  -1.0059,   0.0376
  0.0126,  -1.0067,   0.0396
  0.0162,  -1.0058,   0.0397
  0.0170,  -1.0050,   0.0409
  0.0171,  -1.0045,   0.0400
  0.0186,  -1.0048,   0.0382
  0.0214,  -1.0054,   0.0414
  0.0238,  -1.0049,   0.0430
  0.0156,  -1.0049,   0.0441
  0.0109,  -1.0050,   0.0411
  0.0090,  -1.0053,   0.0354
  0.0063,  -1.0058,   0.0344
  0.0042,  -1.0065,   0.0354
  0.0033,  -1.0061,   0.0258
  0.0009,  -1.0067,   0.0269
  0.0089,  -1.0053,   0.0350
  0.0151,  -1.0045,   0.0460
  0.0195,  -1.0048,   0.0542
  0.0208,  -1.0037,   0.0608
  0.0216,  -1.0026,   0.0636
  0.0142,  -1.0021,   0.0579
  0.0050,  -1.0044,   0.0483
  0.0033,  -1.0045,   0.0427
 -0.0011,  -1.0048,   0.0369
 -0.0052,  -1.0055,   0.0302
 -0.0066,  -1.0059,   0.0272
 -0.0023,  -1.0048,   0.0292
  0.0076,  -1.0056,   0.0333
  0.0098,  -1.0059,   0.0380
  0.0138,  -1.0053,   0.0409
  0.0188,  -1.0047,   0.0479
  0.0181,  -1.0032,   0.0505
  0.0150,  -1.0042,   0.0491
  0.0156,  -1.0047,   0.0476
  0.0184,  -1.0043,   0.0465
  0.0126,  -1.0050,   0.0414
  0.0088,  -1.0045,   0.0392
  0.0081,  -1.0054,   0.0369
  0.0074,  -1.0049,   0.0304
  0.0112,  -1.0061,   0.0273
  0.0109,  -1.0063,   0.0286
  0.0120,  -1.0050,   0.0330
  0.0127,  -1.0048,   0.0348
  0.0123,  -1.0058,   0.0417
  0.0125,  -1.0047,   0.0431
  0.0134,  -1.0039,   0.0460
  0.0120,  -1.0053,   0.0452
  0.0120,  -1.0050,   0.0432
  0.0166,  -1.0039,   0.0470
  0.0172,  -1.0037,   0.0503
  0.0146,  -1.0034,   0.0486
  0.0134,  -1.0048,   0.0490
  0.0114,  -1.0045,   0.0438
  0.0087,  -1.0053,   0.0378
  0.0081,  -1.0055,   0.0331
  0.0059,  -1.0056,   0.0305
  0.0078,  -1.0064,   0.0327
  0.0071,  -1.0060,   0.0331
  0.0078,  -1.0054,   0.0393
  0.0095,  -1.0052,   0.0413
  0.0093,  -1.0049,   0.0404
  0.0138,  -1.0050,   0.0399
  0.0165,  -1.0042,   0.0441
  0.0197,  -1.0052,   0.0463
  0.0205,  -1.0049,   0.0490
  0.0184,  -1.0052,   0.0488
  0.0162,  -1.0045,   0.0476
  0.0156,  -1.0049,   0.0428
  0.0105,  -1.0050,   0.0380
  0.0126,  -1.0050,   0.0336
  0.0073,  -1.0061,   0.0308
  0.0104,  -1.0058,   0.0326
  0.0150,  -1.0064,   0.0399
  0.0078,  -1.0044,   0.0416
  0.0083,  -1.0050,   0.0465
  0.0103,  -1.0047,   0.0513
  0.0071,  -1.0037,   0.0548
  0.0070,  -1.0033,   0.0557
  0.0072,  -1.0049,   0.0501
  0.0059,  -1.0056,   0.0399
  0.0038,  -1.0055,   0.0317
  0.0077,  -1.0059,   0.0348
  0.0104,  -1.0063,   0.0367
  0.0112,  -1.0059,   0.0369
  0.0188,  -1.0061,   0.0405
  0.0156,  -1.0049,   0.0391
  0.0115,  -1.0054,   0.0421
  0.0134,  -1.0050,   0.0452
  0.0150,  -1.0048,   0.0452
  0.0098,  -1.0045,   0.0411
  0.0088,  -1.0043,   0.0413
  0.0078,  -1.0044,   0.0415
  0.0062,  -1.0045,   0.0417
  0.0128,  -1.0054,   0.0341
  0.0084,  -1.0059,   0.0314
  0.0155,  -1.0054,   0.0355
  0.0154,  -1.0047,   0.0431
  0.0146,  -1.0053,   0.0486
  0.0156,  -1.0050,   0.0509
  0.0153,  -1.0031,   0.0494
  0.0115,  -1.0047,   0.0454
  0.0122,  -1.0048,   0.0417
  0.0150,  -1.0044,   0.0388
  0.0172,  -1.0059,   0.0365
  0.0159,  -1.0048,   0.0355
  0.0133,  -1.0047,   0.0409
  0.0140,  -1.0052,   0.0443
  0.0155,  -1.0055,   0.0466
  0.0105,  -1.0052,   0.0421
  0.0068,  -1.0059,   0.0414
  0.0065,  -1.0044,   0.0421
  0.0056,  -1.0052,   0.0437
  0.0051,  -1.0044,   0.0426
  0.0037,  -1.0044,   0.0430
  0.0076,  -1.0053,   0.0415
  0.0083,  -1.0047,   0.0426
  0.0116,  -1.0038,   0.0452
  0.0111,  -1.0041,   0.0497
  0.0081,  -1.0027,   0.0488
  0.0089,  -1.0048,   0.0437
  0.0083,  -1.0047,   0.0404
  0.0095,  -1.0045,   0.0443
  0.0101,  -1.0049,   0.0410
 -0.0009,  -1.0038,   0.0385
  0.0045,  -1.0059,   0.0347
  0.0060,  -1.0050,   0.0338
  0.0071,  -1.0047,   0.0404
  0.0167,  -1.0045,   0.0459
  0.0160,  -1.0049,   0.0460
  0.0176,  -1.0045,   0.0480
  0.0205,  -1.0037,   0.0526
  0.0211,  -1.0038,   0.0537
  0.0149,  -1.0032,   0.0432
  0.0089,  -1.0055,   0.0276
  0.0111,  -1.0061,   0.0142
  0.0142,  -1.0070,   0.0106
  0.0200,  -1.0076,   0.0164
  0.0233,  -1.0055,   0.0249
  0.0287,  -1.0054,   0.0359
  0.0315,  -1.0047,   0.0432
  0.0344,  -1.0045,   0.0496
  0.0388,  -1.0042,   0.0531
  0.0306,  -1.0044,   0.0509
  0.0245,  -1.0045,   0.0472
  0.0194,  -1.0049,   0.0411
  0.0132,  -1.0054,   0.0289
  0.0140,  -1.0072,   0.0242
  0.0132,  -1.0052,   0.0232
  0.0127,  -1.0052,   0.0247
  0.0112,  -1.0054,   0.0304
  0.0099,  -1.0058,   0.0356
  0.0098,  -1.0060,   0.0422
  0.0096,  -1.0048,   0.0449
  0.0095,  -1.0039,   0.0454
  0.0026,  -1.0053,   0.0469
  0.0073,  -1.0045,   0.0460
  0.0118,  -1.0036,   0.0483
  0.0117,  -1.0047,   0.0454
  0.0164,  -1.0042,   0.0470
  0.0210,  -1.0036,   0.0481
  0.0161,  -1.0054,   0.0424
  0.0132,  -1.0050,   0.0372
  0.0126,  -1.0054,   0.0377
  0.0132,  -1.0053,   0.0363
  0.0087,  -1.0048,   0.0337
  0.0035,  -1.0053,   0.0321
  0.0044,  -1.0055,   0.0272
  0.0099,  -1.0061,   0.0283
  0.0173,  -1.0067,   0.0311
  0.0200,  -1.0048,   0.0328
  0.0223,  -1.0039,   0.0377
