x, y, z
 -0.1592,  -0.4551,   1.0192
 -0.1461,  -0.4580,   0.8842
 -0.1536,  -0.4852,   0.9074
 -0.1504,  -0.4873,   0.9001
 -0.1427,  -0.4921,   0.8893
 -0.1332,  -0.4888,   0.8892
 -0.1300,  -0.4854,   0.9060
 -0.1299,  -0.4789,   0.9185
 -0.1362,  -0.4821,   0.9268
 -0.1353,  -0.4735,   0.9350
 -0.1221,  -0.4767,   0.9325
 -0.1127,  -0.4741,   0.9261
 -0.1021,  -0.4754,   0.9099
 -0.1086,  -0.4850,   0.8913
 -0.1124,  -0.4838,   0.8760
 -0.1126,  -0.4821,   0.8678
 -0.0996,  -0.4776,   0.8595
 -0.0822,  -0.4789,   0.8567
 -0.0725,  -0.4769,   0.8695
 -0.0690,  -0.4743,   0.8850
 -0.0635,  -0.4704,   0.9088
 -0.0565,  -0.4652,   0.9208
 -0.0599,  -0.4675,   0.9193
 -0.0624,  -0.4657,   0.9022
 -0.0546,  -0.4729,   0.8960
 -0.0566,  -0.4645,   0.9059
 -0.0701,  -0.4635,   0.9164
 -0.0887,  -0.4606,   0.9247
 -0.1012,  -0.4618,   0.9204
 -0.1036,  -0.4621,   0.9068
 -0.0950,  -0.4645,   0.8847
 -0.0924,  -0.4669,   0.8687
 -0.0867,  -0.4677,   0.8462
 -0.0767,  -0.4743,   0.8222
 -0.0707,  -0.4746,   0.8125
 -0.0558,  -0.4713,   0.8030
 -0.0547,  -0.4696,   0.7965
 -0.0533,  -0.4657,   0.7899
 -0.0612,  -0.4638,   0.7766
 -0.0470,  -0.4667,   0.7642
 -0.0306,  -0.4679,   0.7627
 -0.0143,  -0.4567,   0.7655
 -0.0033,  -0.4551,   0.7630
  0.0066,  -0.4547,   0.7667
  0.0001,  -0.4614,   0.7581
  0.0168,  -0.4784,   0.7371
  0.0470,  -0.4870,   0.7223
  0.0646,  -0.4896,   0.7101
  0.0806,  -0.5006,   0.7113
  0.0977,  -0.5126,   0.7443
  0.1288,  -0.5172,   0.8181
  0.1697,  -0.5211,   0.9107
  0.1998,  -0.5238,   1.0047
  0.2317,  -0.5324,   1.1018
  0.1926,  -0.5624,   1.1927
  0.2366,  -0.5410,   1.3018
  0.2172,  -0.5720,   1.3995
  0.1792,  -0.5803,   1.4812
  0.1526,  -0.5883,   1.5446
  0.1368,  -0.6041,   1.5818
  0.1306,  -0.5963,   1.6185
  0.0883,  -0.6000,   1.6518
  0.0356,  -0.5879,   1.6788
 -0.0109,  -0.5875,   1.6891
 -0.0413,  -0.5858,   1.6968
 -0.0530,  -0.5788,   1.6884
 -0.0674,  -0.5740,   1.6764
 -0.0918,  -0.5632,   1.6526
 -0.1238,  -0.5676,   1.6115
 -0.1438,  -0.5729,   1.5634
 -0.1450,  -0.5692,   1.5002
 -0.1122,  -0.5637,   1.4270
 -0.0949,  -0.5501,   1.3686
 -0.0772,  -0.5299,   1.3121
 -0.0311,  -0.5086,   1.2749
  0.0040,  -0.4830,   1.2741
 -0.0132,  -0.4588,   1.2787
 -0.0531,  -0.4337,   1.2638
 -0.1132,  -0.4192,   1.2426
 -0.1704,  -0.3849,   1.2282
 -0.2177,  -0.3546,   1.2195
 -0.2846,  -0.3324,   1.2127
 -0.3536,  -0.3184,   1.1906
 -0.4191,  -0.3085,   1.1836
 -0.4948,  -0.2975,   1.1726
 -0.5673,  -0.3026,   1.1341
 -0.6601,  -0.2944,   1.0972
 -0.7390,  -0.2930,   1.0987
 -0.7404,  -0.2759,   1.1232
 -0.7333,  -0.2539,   1.1541
 -0.7348,  -0.2275,   1.1723
 -0.7517,  -0.2081,   1.1724
 -0.7847,  -0.1953,   1.1567
 -0.7749,  -0.1857,   1.1186
 -0.7456,  -0.1744,   1.0592
 -0.7127,  -0.1592,   1.0000
 -0.7117,  -0.1456,   0.9311
 -0.7643,  -0.1228,   0.8548
 -0.8285,  -0.1011,   0.7739
 -0.8964,  -0.0967,   0.6802
 -0.9596,  -0.0933,   0.5833
 -0.9778,  -0.0931,   0.4779
 -0.9727,  -0.1075,   0.3687
 -0.9777,  -0.1207,   0.2865
 -1.0329,  -0.1112,   0.2455
 -1.1206,  -0.1068,   0.2260
 -1.2117,  -0.0858,   0.2280
 -1.2727,  -0.0819,   0.2272
 -1.3172,  -0.0735,   0.2302
 -1.3284,  -0.0620,   0.2554
 -1.3283,  -0.0271,   0.2832
 -1.3062,  -0.0127,   0.2726
 -1.2799,   0.0027,   0.2405
 -1.2477,   0.0256,   0.2064
 -1.1869,   0.0416,   0.1469
 -1.1306,   0.0320,   0.0442
 -1.1292,   0.0099,  -0.0946
 -1.1258,  -0.0176,  -0.2221
 -1.1282,  -0.0448,  -0.2677
 -1.0631,  -0.0624,  -0.1699
 -1.0131,  -0.0670,   0.0601
 -0.9317,  -0.0425,   0.3099
 -0.8307,  -0.0547,   0.5117
 -0.7252,  -0.0587,   0.6837
 -0.6682,  -0.0605,   0.8048
 -0.5884,  -0.0879,   0.8769
 -0.5092,  -0.0960,   0.9176
 -0.4400,  -0.1221,   0.9143
 -0.4201,  -0.1459,   0.8742
 -0.4602,  -0.1694,   0.8128
 -0.4714,  -0.1919,   0.7234
 -0.4520,  -0.2051,   0.6378
 -0.4162,  -0.2136,   0.5607
 -0.3203,  -0.2251,   0.4874
 -0.2062,  -0.2415,   0.4544
 -0.0767,  -0.2299,   0.4422
  0.0580,  -0.2562,   0.4143
  0.2200,  -0.2766,   0.3998
  0.3355,  -0.3150,   0.3773
  0.4319,  -0.3453,   0.3546
  0.5281,  -0.3822,   0.3196
  0.5733,  -0.4225,   0.2925
  0.5907,  -0.4369,   0.2925
  0.5845,  -0.4517,   0.2800
  0.5810,  -0.4613,   0.2578
  0.6000,  -0.4642,   0.2336
  0.5831,  -0.4993,   0.2084
  0.5392,  -0.5342,   0.2036
  0.4918,  -0.5392,   0.2207
  0.4649,  -0.5321,   0.2365
  0.4629,  -0.5242,   0.2520
  0.4205,  -0.5036,   0.2734
  0.4282,  -0.4920,   0.2866
  0.4297,  -0.5056,   0.2896
  0.4274,  -0.5449,   0.2922
  0.4280,  -0.5716,   0.2964
  0.4569,  -0.5744,   0.2887
  0.5215,  -0.5857,   0.2633
  0.6122,  -0.5844,   0.2313
  0.6741,  -0.5945,   0.2079
  0.7019,  -0.6052,   0.2145
  0.6975,  -0.6360,   0.2101
  0.6548,  -0.6651,   0.2149
  0.6331,  -0.6831,   0.2283
  0.5974,  -0.7118,   0.2490
  0.5742,  -0.7013,   0.2831
  0.5725,  -0.7100,   0.2759
  0.5471,  -0.7162,   0.2578
  0.5261,  -0.7178,   0.2625
  0.4931,  -0.7071,   0.2783
  0.4590,  -0.6969,   0.3024
  0.4263,  -0.7038,   0.3567
  0.4122,  -0.6820,   0.4496
  0.4221,  -0.6796,   0.4983
  0.4061,  -0.6920,   0.5363
  0.3692,  -0.6708,   0.5905
  0.3331,  -0.6727,   0.6599
  0.3063,  -0.6519,   0.7772
  0.2687,  -0.6564,   0.8843
  0.2192,  -0.6861,   0.9870
  0.2449,  -0.6869,   1.0454
  0.3027,  -0.7201,   1.0389
  0.3673,  -0.7273,   0.9793
  0.4227,  -0.7510,   0.8703
  0.4986,  -0.7671,   0.7718
  0.6240,  -0.8291,   0.6405
