x, y, z
112.5523, -84.4752, -28.1381
407.4831, -148.9914,  11.7801
427.3812, -48.6465,  31.4951
-35.7677,  44.4349,   6.5920
-36.9274,  44.0077,   5.7985
-16.8462,  18.9215,   1.1597
 -1.6480,  -0.1831,  -2.5025
 -1.1597,  -0.6714,  -2.7467
 -1.2207,  -0.6104,  -2.8077
 -1.0376,  -1.3428,  -2.9908
 -0.7324,  -2.6246,  -3.2350
 -0.3662,  -3.4791,  -3.3570
  0.0000,  -4.4557,  -3.2960
  0.2441,  -4.6388,  -3.2960
  0.6714,  -4.2726,  -3.0519
  0.7324,  -3.1129,  -2.7467
  0.9766,  -1.7090,  -2.6856
  1.2207,  -0.4273,  -2.6856
  1.5259,  -0.2441,  -2.9298
  1.7701,  -1.0987,  -3.3570
  1.8921,  -2.3194,  -3.7233
  2.3194,  -2.5636,  -4.0284
  2.5636,  -1.5870,  -4.2726
  2.8687,  -1.2818,  -4.2726
  3.1129,  -1.5870,  -4.3336
  3.2350,  -2.0753,  -4.2726
  3.6012,  -2.9298,  -4.1505
  3.7843,  -2.8077,  -4.0284
  4.0284,  -2.5636,  -3.9674
  4.0895,  -2.8077,  -4.0284
  3.9064,  -2.5636,  -4.0284
  3.5401,  -1.7701,  -4.0895
  3.1739,  -1.5259,  -4.3336
  2.9908,  -1.4649,  -4.4557
  2.6856,  -1.6480,  -4.4557
  2.4415,  -1.3428,  -4.6388
  2.2584,  -1.4649,  -4.6999
  2.1973,  -2.1363,  -5.0050
  2.3194,  -2.8687,  -5.1881
  2.5636,  -3.5401,  -5.2492
  2.9298,  -2.8687,  -5.3102
  3.4181,  -2.0753,  -5.3713
  4.1505,  -1.8311,  -5.4933
  4.7609,  -2.0753,  -5.6154
  5.3102,  -2.3194,  -5.7985
  5.4323,  -2.7467,  -6.0427
  5.5544,  -3.6012,  -6.4089
  5.5544,  -4.0284,  -6.7751
  5.4933,  -3.8453,  -6.8972
  5.5544,  -4.3947,  -6.8972
  5.5544,  -4.8830,  -6.8972
  5.3102,  -5.1881,  -6.7141
  5.1881,  -3.9064,  -6.3478
  5.1881,  -2.5636,  -5.7375
  5.3713,  -2.2584,  -5.1271
  5.6764,  -2.4415,  -4.5778
  5.9206,  -3.4791,  -3.9674
  6.1037,  -3.6622,  -3.3570
  6.1647,  -3.6012,  -2.5025
  6.3478,  -2.9298,  -1.5259
  6.7751,  -1.7090,  -0.3662
  6.8972,  -0.7324,   0.9766
  7.2634,  -0.7324,   2.5025
  7.7517,  -1.7090,   4.0895
  8.4231,  -2.6246,   5.7985
  9.2776,  -3.4181,   7.8127
 10.1321,  -3.8453,   9.7659
 10.9256,  -3.5401,  11.6581
 11.7801,  -3.9674,  13.6723
 12.3295,  -4.3947,  15.6865
 12.6347,  -3.7843,  17.7618
 12.8788,  -3.4791,  19.7760
 13.1840,  -2.9298,  21.7902
 13.5502,  -2.1363,  23.8655
 14.2216,  -1.6480,  26.0018
 15.1982,  -2.1973,  27.8329
 15.9307,  -2.5025,  29.4198
 16.3579,  -2.8687,  30.8847
 16.8462,  -3.6012,  32.2275
 17.0904,  -3.6012,  33.1431
 16.9683,  -3.1129,  33.7535
 16.9683,  -2.5025,  34.2418
 17.2735,  -2.3194,  34.6080
 17.8228,  -2.5025,  35.0352
 18.4332,  -3.5401,  35.5235
 19.2877,  -5.7985,  36.0118
 20.0201,  -7.8738,  36.3781
 20.9357, -11.0477,  36.7443
 21.8513,  -8.6673,  36.8664
 22.4616,  -6.3478,  36.8664
 23.3161,  -5.7985,  36.8053
 24.2317,  -5.5544,  36.8053
 25.0862,  -4.6388,  37.0495
 26.0018,  -2.5636,  37.4767
 27.0394,  -0.6714,  38.0261
 28.1381,   0.7935,  38.5144
 29.2367,  -0.6104,  38.9416
 30.2744,  -4.2116,  38.9416
 31.3730,  -8.2400,  38.6364
 32.7769, -11.9633,  38.3923
 34.1807, -14.5878,  38.1481
 35.9508, -16.1138,  38.2092
 38.0871, -15.0151,  38.8195
 40.4065, -12.5126,  39.6130
 42.2376,  -9.0945,  40.4675
 43.5194,  -6.5920,  41.3221
 44.2518,  -5.6764,  41.8714
 44.5570,  -6.5920,  41.9935
 44.9232,  -5.8596,  41.8104
 45.6557,  -5.3102,  41.6883
 46.4492,  -5.0661,  41.4441
 47.2427,  -5.6154,  41.2000
 47.9141,  -5.2492,  41.2000
 48.0361,  -2.6246,  41.1390
 47.6699,   2.7467,  41.0779
 46.6323,   5.2492,  40.9558
 45.2895,   4.4557,  40.5896
 44.1298,   2.3804,  40.1624
 43.4584,   1.8921,  40.0403
 43.3363,   5.3713,  40.0403
 43.6415,   9.1556,  40.1013
 43.8856,  12.9398,  40.2234
 44.0687,  15.9307,  40.0403
 44.0077,  17.2124,  39.6741
 43.5804,  19.5318,  39.1858
 42.8480,  23.1330,  38.5754
 41.8714,  26.7342,  37.8430
 40.8338,  29.6640,  37.1105
 39.7961,  31.0068,  36.3170
 38.6975,  33.5704,  35.2794
 37.7209,  36.5612,  34.1807
 37.3547,  37.5988,  33.1431
 37.2936,  37.0495,  31.8613
 37.7209,  33.9976,  30.5185
 38.3312,  30.0302,  28.5653
 38.9416,  27.5277,  26.0628
 39.2468,  25.9407,  23.1330
 39.4910,  24.7810,  19.9591
 39.3689,  24.1707,  16.8462
 39.3689,  24.4758,  13.8554
 39.4910,  25.0252,  11.3529
 39.5520,  25.7576,   9.0335
 39.2468,  25.6966,   6.5920
 38.4533,  24.1707,   3.7843
 37.2936,  23.6213,   0.7935
 35.7067,  24.4148,  -2.4415
 33.9366,  24.8421,  -5.7985
 31.7393,  23.3161,  -9.2776
 29.2978,  22.0344, -13.0009
 26.9784,  20.5084, -16.8462
 25.0252,  18.0670, -20.7526
 23.4382,  14.5878, -24.5369
 21.8513,  10.6815, -28.1381
 20.3253,   7.0803, -31.6172
 18.7994,   5.6154, -34.7301
 17.8228,   7.0193, -37.4157
 17.2124,   9.2166, -39.7961
 17.0293,  10.3763, -41.6883
 17.0293,  10.9256, -43.4584
 17.4566,  11.3529, -44.8622
 18.1890,  12.4516, -45.9609
 19.1046,  13.4892, -46.8764
 19.7760,  13.5502, -47.6699
 20.4474,  13.6113, -48.5244
 20.7526,  13.9164, -49.3789
 20.6915,  14.0996, -50.2945
 20.6915,  12.7567, -51.2711
 20.3864,  11.3529, -52.3087
 20.6305,  10.8646, -53.1632
 21.3019,  10.8036, -53.8347
 22.1564,  11.1698, -54.2619
 23.2551,  11.9633, -54.5061
 24.7810,  12.3905, -54.6281
 26.4290,  12.3295, -54.7502
 28.0160,  10.9256, -54.8112
 29.4809,   8.0569, -54.8723
 30.8847,   4.9440, -54.8112
 32.1665,   3.5401, -54.6892
 33.3262,   2.9298, -54.3840
 34.4859,   2.5636, -53.8957
 35.5846,   2.8077, -53.2243
 36.7443,   3.2960, -52.1866
 37.8430,   4.2726, -50.9049
 38.9416,   5.8596, -49.4400
 40.4065,   7.0803, -47.9751
 42.0545,   5.8596, -46.4492
 44.1298,   2.8077, -44.9843
 46.3881,   0.3052, -43.6415
 48.4024,  -1.7701, -42.3597
 50.2335,  -2.9298, -41.2610
 52.1256,  -4.9440, -40.4675
 53.8957,  -8.3621, -39.7351
 55.1164, -11.9022, -38.8806
 55.8489, -15.6255, -37.8430
 55.9099, -19.5929, -36.5612
 55.4827, -20.8136, -35.1573
 54.5061, -19.5929, -33.3872
 53.1022, -16.4800, -31.3730
 51.3321, -12.3905, -28.9926
 49.5621,  -8.3010, -26.1849
 47.6089,  -3.0519, -23.0110
 46.0219,   3.2350, -19.6539
 45.1674,   9.0945, -16.2358
 45.0453,  12.4516, -12.8788
 45.4726,  13.4281,  -9.7049
 46.3881,  11.7801,  -6.8361
 47.2427,   7.6907,  -4.3947
 47.9141,   5.3102,  -2.2584
 48.7075,   2.9908,  -0.6104
 49.1958,   1.0987,   0.7324
 49.5621,   0.6104,   1.8311
 50.0504,  -1.8311,   2.5025
 50.4166,  -4.8830,   2.8077
 50.4776,  -6.1037,   2.9908
 50.3555,  -6.8972,   3.2350
 49.7452,  -6.9582,   3.6622
 48.9517,  -8.3010,   3.9064
 47.7920, -11.5360,   4.0895
 46.5102, -14.5878,   4.3336
 45.1674, -16.1748,   4.7609
 43.8246, -14.0385,   5.4933
 42.1155,  -9.8270,   6.4089
 40.5286,  -9.0945,   7.9348
 39.1247,  -5.4323,   9.5828
 38.0261,  -2.1363,  11.1087
 37.1105,  -0.1831,  12.6347
 36.1339,   0.2441,  14.0996
 34.4859,   1.4039,  15.6255
 32.6548,  -1.4649,  16.9683
 30.8847,  -3.7233,  17.9449
 29.4198,  -5.6154,  18.9825
 28.0160,  -7.4465,  19.7760
 26.5511,  -8.7283,  20.3253
 24.8421,  -9.2166,  20.8136
 23.0720, -10.1321,  21.3630
 21.3019, -11.4139,  21.9733
 20.0201, -13.3671,  22.7668
 18.6773, -14.9541,  23.6824
 17.1514, -16.0527,  24.7200
 15.6255, -17.8838,  26.0018
 14.0385, -18.6163,  27.3446
 12.9398, -16.4190,  28.5653
 12.4516, -15.5644,  29.9081
 12.4516, -15.1982,  31.1899
 12.7567, -15.5034,  32.5327
 13.4892, -16.9683,  33.9976
 14.4658, -16.7241,  35.6456
 15.9307, -15.1372,  37.7819
 17.8228, -13.5502,  40.0403
 19.4708, -12.6347,  42.4818
 20.3864, -11.5970,  44.6181
 20.5695, -10.9256,  46.4492
 20.0201, -12.2074,  48.0361
 18.7384, -14.2827,  49.0738
 17.1514, -20.3253,  49.3789
 15.3203, -28.4433,  49.3789
 13.6113, -31.7393,  49.1958
 11.7801, -30.3964,  48.8907
 10.1321, -26.8563,  48.3413
  8.5452, -24.7200,  47.6089
  7.2634, -23.2551,  46.8764
  6.1037, -21.6681,  45.8388
  5.0661, -20.8747,  45.2895
  4.3336, -21.6071,  44.8622
  3.7233, -23.9875,  44.8012
  3.6622, -25.8797,  45.2284
  3.9674, -26.7953,  46.1440
  4.1505, -25.8797,  47.4258
  3.7233, -23.8044,  48.5855
  2.8687, -22.0954,  49.6841
  1.0987, -20.9967,  50.4776
 -1.3428, -20.6915,  50.5997
 -4.4557, -19.3487,  50.2945
 -7.8738, -17.9449,  49.5010
-11.1698, -18.4332,  48.1582
-13.9164, -21.9733,  46.1440
-15.8696, -24.2317,  43.5194
-17.5176, -27.2835,  40.6507
-18.8604, -28.0160,  38.0871
-20.3864, -26.9173,  35.9508
-22.0954, -26.5511,  34.1807
-24.1096, -25.3914,  32.6548
-26.3070, -23.1941,  31.1899
-28.3212, -21.3019,  29.9081
-29.6640, -23.4382,  28.2601
-30.6406, -28.8705,  26.3680
-31.5561, -31.6782,  24.7810
-32.4107, -30.0912,  24.2317
-33.6314, -21.3019,  23.8655
-35.4015, -15.1372,  23.6824
-36.8053, -10.4984,  23.2551
-38.0261,  -6.0427,  22.5837
-38.6364,  -3.5401,  21.4850
-38.8806,  -3.0519,  20.2033
-38.6975,  -4.6999,  18.1280
-38.2702,  -7.3855,  15.8696
-38.2092,  -9.0945,  13.5502
-38.6364,  -9.9490,  11.1698
-39.4299,  -9.5218,   8.4841
-40.5896,  -7.0803,   5.6764
-41.9324,  -3.6622,   2.9298
-42.4818,  -1.0376,   0.4273
-42.4818,   0.1831,  -1.6480
-42.1766,   1.1597,  -3.4791
-41.8104,   3.1739,  -5.1271
-41.8104,   4.2116,  -6.7751
-42.0545,   5.4933,  -8.9114
-41.8714,   5.6154, -11.3529
-40.8338,   3.6012, -13.8554
-38.8806,   1.8311, -16.6631
-35.9508,   0.4883, -19.4708
-32.5327,  -1.0376, -22.0344
-29.1147,  -2.8687, -24.1707
