x, y, z
 65.3706, -60.7318, -81.9117
493.4232, -115.0548, 145.2681
460.7685, -75.1976,  79.2871
-32.8379,  45.9609,   7.2024
-32.7769,  43.5804,   6.4089
-11.3529,  15.5034,   1.1597
  3.1739,  -3.2350,  -2.2584
  3.7233,  -3.9674,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.7233,  -4.0284,  -2.3194
  3.7233,  -4.0284,  -2.3804
  3.6622,  -4.0284,  -2.3194
  3.5401,  -4.0895,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.7233,  -4.0895,  -2.2584
  3.7233,  -4.0895,  -2.2584
  3.7233,  -4.0895,  -2.3194
  3.7233,  -3.9674,  -2.3194
  3.7843,  -3.9674,  -2.2584
  3.7233,  -3.9674,  -2.3194
  3.7233,  -3.9064,  -2.2584
  3.7843,  -3.9674,  -2.3804
  3.7233,  -4.0284,  -2.3804
  3.7233,  -4.1505,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.6622,  -4.0895,  -2.3804
  3.6622,  -4.1505,  -2.3804
  3.7233,  -4.0284,  -2.3194
  3.7233,  -4.1505,  -2.3194
  3.7843,  -4.0895,  -2.3194
  3.6622,  -4.0284,  -2.3804
  3.7233,  -4.0284,  -2.3804
  3.7843,  -4.0895,  -2.3804
  3.7233,  -3.9674,  -2.3804
  3.7233,  -4.0284,  -2.3804
  3.7233,  -4.0284,  -2.3194
  3.6622,  -4.0895,  -2.3194
  3.7233,  -4.1505,  -2.3194
  3.6622,  -4.0284,  -2.3194
  3.6622,  -4.1505,  -2.3194
  3.6622,  -4.0895,  -2.3194
  3.6622,  -3.9674,  -2.3194
  3.7233,  -4.0284,  -2.3194
  3.6622,  -4.0895,  -2.3804
  3.7233,  -4.0284,  -2.3804
  3.6622,  -4.0284,  -2.2584
  3.6622,  -3.9674,  -2.2584
  3.6622,  -4.0895,  -2.3194
  3.6622,  -4.0284,  -2.3804
  3.6012,  -4.0284,  -2.3804
  3.6622,  -4.0284,  -2.3194
  3.6622,  -4.0284,  -2.3804
  3.7233,  -4.1505,  -2.3194
  3.6622,  -4.0895,  -2.3804
  3.6012,  -4.0895,  -2.3804
  3.7233,  -4.0284,  -2.3804
  3.7843,  -4.0284,  -2.3804
  3.6622,  -3.9674,  -2.3194
  3.6622,  -4.0895,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.6012,  -4.0895,  -2.3194
  3.6012,  -4.0284,  -2.3194
  3.6622,  -4.0895,  -2.3194
  3.6622,  -4.0284,  -2.3194
  3.6012,  -4.0895,  -2.2584
  3.6012,  -4.0895,  -2.3804
  3.6012,  -4.0284,  -2.3804
  3.6622,  -4.0284,  -2.3804
  3.7233,  -3.9674,  -2.3194
  3.6622,  -4.0284,  -2.3194
  3.6012,  -4.0284,  -2.3804
  3.6622,  -4.0284,  -2.3194
  3.6622,  -4.0284,  -2.3804
  3.7843,  -4.0895,  -2.3194
  3.6012,  -4.0895,  -2.2584
  3.6012,  -4.0895,  -2.3194
  3.6012,  -4.0895,  -2.3804
  3.6622,  -4.0284,  -2.3194
  3.6622,  -4.1505,  -2.3804
  3.5401,  -3.9674,  -2.3804
  3.7233,  -4.0284,  -2.3194
  3.7233,  -4.0284,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.7233,  -3.9674,  -2.2584
  3.7233,  -4.0284,  -2.2584
  3.6622,  -4.0895,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.6622,  -4.0895,  -2.3194
  3.6012,  -4.0284,  -2.3194
  3.6012,  -4.0284,  -2.3194
  3.6012,  -4.0895,  -2.3804
  3.6622,  -4.0895,  -2.2584
  3.7843,  -4.0895,  -2.2584
  3.7233,  -4.0284,  -2.3804
  3.7233,  -3.9674,  -2.3194
  3.6622,  -3.9674,  -2.2584
  3.5401,  -4.0284,  -2.2584
  3.6012,  -4.0284,  -2.3194
  3.7233,  -4.0895,  -2.3804
  3.7843,  -4.0284,  -2.3194
  3.6622,  -4.0284,  -2.3804
  3.6012,  -4.0284,  -2.3194
  3.6622,  -4.0284,  -2.2584
  3.6622,  -4.0895,  -2.3194
  3.7233,  -4.1505,  -2.3804
  3.7233,  -4.0284,  -2.3194
  3.7843,  -4.0284,  -2.3194
  3.6622,  -4.0284,  -2.3194
  3.6622,  -3.9674,  -2.3194
  3.6622,  -4.0284,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.6622,  -4.0284,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.6622,  -4.0284,  -2.3804
  3.6622,  -4.0895,  -2.3804
  3.7843,  -4.1505,  -2.3194
  3.6622,  -4.1505,  -2.3804
  3.7233,  -4.0284,  -2.3804
  3.7233,  -4.0284,  -2.3804
  3.7233,  -4.0895,  -2.2584
  3.6012,  -4.0895,  -2.3194
  3.6012,  -3.9674,  -2.3194
  3.7233,  -4.0284,  -2.3194
  3.7233,  -4.0895,  -2.2584
  3.7233,  -4.0284,  -2.3194
  3.7233,  -3.9674,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.7233,  -4.0895,  -2.3804
  3.6622,  -4.0895,  -2.3194
  3.7233,  -4.0895,  -2.3194
  3.8453,  -4.0284,  -2.3194
  3.7843,  -4.0284,  -2.3804
  3.7233,  -4.0895,  -2.3804
  3.7233,  -3.9674,  -2.3194
